,Region,County,First Dose,Series Complete,Report as of
113,Long Island,Suffolk,24,0,12/15/2020
114,Mid-Hudson,Sullivan,0,0,12/15/2020
115,Southern Tier,Tioga,0,0,12/15/2020
116,Southern Tier,Tompkins,0,0,12/15/2020
117,Mid-Hudson,Ulster,6,0,12/15/2020
118,Capital Region,Warren,6,0,12/15/2020
119,Capital Region,Washington,2,0,12/15/2020
120,Finger Lakes,Wayne,0,0,12/15/2020
121,Mid-Hudson,Westchester,82,0,12/15/2020
122,Finger Lakes,Wyoming,0,0,12/15/2020
123,Finger Lakes,Yates,0,0,12/15/2020
124,Capital Region,Albany,377,1,12/16/2020
125,Western New York,Allegany,6,0,12/16/2020
126,New York City,Bronx,190,2,12/16/2020
127,Southern Tier,Broome,1,0,12/16/2020
128,Western New York,Cattaraugus,21,0,12/16/2020
129,Central New York,Cayuga,8,0,12/16/2020
130,Western New York,Chautauqua,21,0,12/16/2020
131,Southern Tier,Chemung,2,0,12/16/2020
132,Southern Tier,Chenango,0,0,12/16/2020
133,North Country,Clinton,11,0,12/16/2020
134,Capital Region,Columbia,17,0,12/16/2020
135,Central New York,Cortland,1,0,12/16/2020
136,Southern Tier,Delaware,1,0,12/16/2020
137,Mid-Hudson,Dutchess,170,0,12/16/2020
138,Western New York,Erie,28,0,12/16/2020
139,North Country,Essex,1,0,12/16/2020
140,North Country,Franklin,7,0,12/16/2020
141,Mohawk Valley,Fulton,8,0,12/16/2020
142,Finger Lakes,Genesee,3,0,12/16/2020
143,Capital Region,Greene,11,0,12/16/2020
144,North Country,Hamilton,0,0,12/16/2020
145,Mohawk Valley,Herkimer,4,0,12/16/2020
146,North Country,Jefferson,1,0,12/16/2020
147,New York City,Kings,546,1,12/16/2020
148,North Country,Lewis,0,0,12/16/2020
149,Finger Lakes,Livingston,17,0,12/16/2020
150,Central New York,Madison,17,0,12/16/2020
151,Finger Lakes,Monroe,403,1,12/16/2020
152,Mohawk Valley,Montgomery,9,0,12/16/2020
153,Long Island,Nassau,491,0,12/16/2020
154,New York City,New York,1478,2,12/16/2020
155,Western New York,Niagara,1,0,12/16/2020
156,Mohawk Valley,Oneida,39,0,12/16/2020
157,Central New York,Onondaga,208,1,12/16/2020
158,Finger Lakes,Ontario,21,0,12/16/2020
159,Mid-Hudson,Orange,63,0,12/16/2020
160,Finger Lakes,Orleans,3,0,12/16/2020
161,Central New York,Oswego,9,0,12/16/2020
162,Mohawk Valley,Otsego,0,0,12/16/2020
163,Mid-Hudson,Putnam,34,1,12/16/2020
164,New York City,Queens,570,3,12/16/2020
165,Capital Region,Rensselaer,100,0,12/16/2020
166,New York City,Richmond,184,0,12/16/2020
167,Mid-Hudson,Rockland,88,1,12/16/2020
168,Capital Region,Saratoga,124,0,12/16/2020
169,Capital Region,Schenectady,167,0,12/16/2020
170,Mohawk Valley,Schoharie,8,0,12/16/2020
171,Southern Tier,Schuyler,0,0,12/16/2020
172,Finger Lakes,Seneca,1,0,12/16/2020
173,North Country,St. Lawrence,226,1,12/16/2020
174,Southern Tier,Steuben,0,0,12/16/2020
175,Long Island,Suffolk,210,1,12/16/2020
176,Mid-Hudson,Sullivan,2,0,12/16/2020
177,Southern Tier,Tioga,2,0,12/16/2020
178,Southern Tier,Tompkins,1,0,12/16/2020
179,Mid-Hudson,Ulster,53,0,12/16/2020
180,Capital Region,Warren,15,0,12/16/2020
181,Capital Region,Washington,7,0,12/16/2020
182,Finger Lakes,Wayne,9,1,12/16/2020
183,Mid-Hudson,Westchester,583,2,12/16/2020
184,Finger Lakes,Wyoming,3,0,12/16/2020
185,Finger Lakes,Yates,0,0,12/16/2020
186,Capital Region,Albany,459,1,12/17/2020
187,Western New York,Allegany,21,0,12/17/2020
188,New York City,Bronx,342,2,12/17/2020
189,Southern Tier,Broome,3,0,12/17/2020
190,Western New York,Cattaraugus,70,0,12/17/2020
191,Central New York,Cayuga,18,0,12/17/2020
192,Western New York,Chautauqua,101,0,12/17/2020
193,Southern Tier,Chemung,3,0,12/17/2020
194,Southern Tier,Chenango,0,0,12/17/2020
195,North Country,Clinton,22,0,12/17/2020
196,Capital Region,Columbia,25,0,12/17/2020
197,Central New York,Cortland,2,0,12/17/2020
198,Southern Tier,Delaware,1,0,12/17/2020
199,Mid-Hudson,Dutchess,218,0,12/17/2020
200,Western New York,Erie,723,2,12/17/2020
201,North Country,Essex,10,0,12/17/2020
202,North Country,Franklin,24,0,12/17/2020
203,Mohawk Valley,Fulton,11,0,12/17/2020
204,Finger Lakes,Genesee,7,0,12/17/2020
205,Capital Region,Greene,14,0,12/17/2020
206,North Country,Hamilton,0,0,12/17/2020
207,Mohawk Valley,Herkimer,24,0,12/17/2020
208,North Country,Jefferson,4,0,12/17/2020
209,New York City,Kings,1106,7,12/17/2020
210,North Country,Lewis,3,0,12/17/2020
211,Finger Lakes,Livingston,23,0,12/17/2020
212,Central New York,Madison,33,0,12/17/2020
213,Finger Lakes,Monroe,596,1,12/17/2020
214,Mohawk Valley,Montgomery,13,0,12/17/2020
215,Long Island,Nassau,961,1,12/17/2020
216,New York City,New York,2401,5,12/17/2020
217,Western New York,Niagara,50,0,12/17/2020
218,Mohawk Valley,Oneida,156,0,12/17/2020
219,Central New York,Onondaga,435,1,12/17/2020
220,Finger Lakes,Ontario,32,0,12/17/2020
221,Mid-Hudson,Orange,216,3,12/17/2020
222,Finger Lakes,Orleans,7,0,12/17/2020
223,Central New York,Oswego,18,0,12/17/2020
224,Mohawk Valley,Otsego,1,0,12/17/2020
225,Mid-Hudson,Putnam,54,1,12/17/2020
226,New York City,Queens,1082,4,12/17/2020
227,Capital Region,Rensselaer,132,0,12/17/2020
228,New York City,Richmond,409,0,12/17/2020
229,Mid-Hudson,Rockland,262,1,12/17/2020
230,Capital Region,Saratoga,192,0,12/17/2020
231,Capital Region,Schenectady,217,0,12/17/2020
232,Mohawk Valley,Schoharie,8,0,12/17/2020
233,Southern Tier,Schuyler,0,0,12/17/2020
234,Finger Lakes,Seneca,1,0,12/17/2020
235,North Country,St. Lawrence,355,1,12/17/2020
236,Southern Tier,Steuben,2,0,12/17/2020
237,Long Island,Suffolk,680,2,12/17/2020
238,Mid-Hudson,Sullivan,6,0,12/17/2020
239,Southern Tier,Tioga,3,0,12/17/2020
240,Southern Tier,Tompkins,3,0,12/17/2020
241,Mid-Hudson,Ulster,81,0,12/17/2020
242,Capital Region,Warren,39,0,12/17/2020
243,Capital Region,Washington,12,0,12/17/2020
244,Finger Lakes,Wayne,16,1,12/17/2020
245,Mid-Hudson,Westchester,939,4,12/17/2020
246,Finger Lakes,Wyoming,11,0,12/17/2020
247,Finger Lakes,Yates,1,0,12/17/2020
248,Capital Region,Albany,702,2,12/18/2020
249,Western New York,Allegany,40,0,12/18/2020
250,New York City,Bronx,593,2,12/18/2020
251,Southern Tier,Broome,7,0,12/18/2020
252,Western New York,Cattaraugus,144,0,12/18/2020
253,Central New York,Cayuga,25,0,12/18/2020
254,Western New York,Chautauqua,133,0,12/18/2020
255,Southern Tier,Chemung,4,1,12/18/2020
256,Southern Tier,Chenango,1,0,12/18/2020
257,North Country,Clinton,27,1,12/18/2020
258,Capital Region,Columbia,48,0,12/18/2020
259,Central New York,Cortland,3,0,12/18/2020
260,Southern Tier,Delaware,2,0,12/18/2020
261,Mid-Hudson,Dutchess,279,0,12/18/2020
