,VACCINATION_DATE,5-11 percent,12-17 percent,18-49 percent,50-64 percent,65 and Older percent,5-11 total,12-17 total,18-49 total,50-64 total,65 and Older total
0,2020-12-14 15:00:00,,,0.001,0.0,0.0,,,13,4,2
1,2020-12-15 15:00:00,,,0.002,0.002,0.001,,,45,30,5
2,2020-12-16 15:00:00,,,0.019,0.013,0.003,,,489,156,30
3,2020-12-17 15:00:00,,,0.05,0.039,0.01,,,1271,476,92
4,2020-12-18 15:00:00,,,0.125,0.115,0.03,,,3163,1410,287
5,2020-12-19 15:00:00,,,0.148,0.138,0.036,,,3746,1697,348
6,2020-12-20 15:00:00,,,0.158,0.146,0.039,,,3990,1793,372
7,2020-12-21 15:00:00,,,0.259,0.236,0.062,,,6546,2900,598
8,2020-12-22 15:00:00,,0.002,0.386,0.384,0.197,,8.0,9746,4720,1893
9,2020-12-23 15:00:00,,0.002,0.515,0.532,0.271,,9.0,13006,6539,2597
10,2020-12-24 15:00:00,,,0.579,0.605,0.295,,,14612,7426,2832
11,2020-12-25 15:00:00,,0.004,0.591,0.632,0.336,,18.0,14907,7764,3225
12,2020-12-26 15:00:00,,,0.62,0.683,0.391,,,15639,8387,3753
13,2020-12-27 15:00:00,,0.004,0.65,0.726,0.444,,20.0,16402,8916,4261
14,2020-12-28 15:00:00,,0.005,0.849,0.952,0.568,,24.0,21413,11697,5448
15,2020-12-29 15:00:00,,0.006,1.075,1.242,0.746,,25.0,27117,15249,7159
16,2020-12-30 15:00:00,,0.006,1.358,1.567,0.886,,27.0,34263,19249,8502
17,2020-12-31 15:00:00,,0.006,1.529,1.759,0.976,,29.0,38594,21602,9368
18,2021-01-01 15:00:00,,0.008,1.581,1.827,1.097,,38.0,39887,22441,10528
19,2021-01-02 15:00:00,,0.009,1.638,1.89,1.183,,39.0,41338,23208,11353
20,2021-01-03 15:00:00,,0.009,1.702,1.971,1.266,,40.0,42948,24211,12150
21,2021-01-04 15:00:00,,0.01,1.971,2.313,1.514,,47.0,49727,28414,14524
22,2021-01-05 15:00:00,,0.013,2.216,2.627,1.767,,57.0,55922,32268,16951
23,2021-01-06 15:00:00,,0.016,2.517,3.027,2.054,,73.0,63510,37178,19704
24,2021-01-07 15:00:00,,0.019,2.834,3.413,2.292,,85.0,71519,41914,21985
25,2021-01-08 15:00:00,,0.026,3.164,3.814,2.577,,117.0,79836,46844,24719
26,2021-01-09 15:00:00,,0.027,3.263,3.934,2.701,,123.0,82339,48314,25915
27,2021-01-10 15:00:00,,0.028,3.315,4.004,2.782,,128.0,83659,49182,26693
28,2021-01-11 15:00:00,,0.032,3.575,4.336,3.103,,145.0,90213,53252,29774
29,2021-01-12 15:00:00,,0.038,3.898,4.733,3.555,,171.0,98371,58128,34106
30,2021-01-13 15:00:00,,0.042,4.273,5.188,3.926,,188.0,107826,63718,37663
31,2021-01-14 15:00:00,,0.044,4.622,5.618,4.317,,200.0,116635,68997,41416
32,2021-01-15 15:00:00,,0.047,4.998,6.055,4.799,,214.0,126110,74368,46038
33,2021-01-16 15:00:00,,0.048,5.098,6.154,5.016,,215.0,128648,75579,48125
34,2021-01-17 15:00:00,,0.048,5.133,6.199,5.089,,219.0,129514,76135,48821
35,2021-01-18 15:00:00,,0.05,5.217,6.31,5.462,,225.0,131636,77502,52405
36,2021-01-19 15:00:00,,0.052,5.408,6.541,6.429,,235.0,136470,80343,61676
37,2021-01-20 15:00:00,,0.054,5.632,6.824,7.666,,245.0,142124,83819,73543
38,2021-01-21 15:00:00,,0.057,5.92,7.174,8.943,,259.0,149375,88111,85799
39,2021-01-22 15:00:00,,0.061,6.296,7.651,10.327,,274.0,158883,93967,99078
40,2021-01-23 15:00:00,,0.063,6.423,7.796,10.86,,286.0,162089,95757,104192
41,2021-01-24 15:00:00,,0.066,6.454,7.842,11.07,,300.0,162854,96320,106205
42,2021-01-25 15:00:00,,0.069,6.623,8.048,12.059,,310.0,167130,98848,115698
43,2021-01-26 15:00:00,,0.071,6.814,8.272,13.1,,323.0,171948,101598,125683
44,2021-01-27 15:00:00,,0.076,7.051,8.563,14.651,,343.0,177915,105174,140557
45,2021-01-28 15:00:00,,0.079,7.28,8.858,16.029,,359.0,183704,108799,153783
46,2021-01-29 15:00:00,,0.092,7.517,9.178,17.574,,417.0,189681,112727,168608
47,2021-01-30 15:00:00,,0.096,7.691,9.393,18.694,,436.0,194069,115363,179348
48,2021-01-31 15:00:00,,0.099,7.744,9.456,18.864,,447.0,195405,116145,180984
49,2021-02-01 15:00:00,,0.109,7.819,9.572,19.36,,492.0,197312,117562,185743
50,2021-02-02 15:00:00,,0.115,7.936,9.743,20.135,,521.0,200267,119659,193172
51,2021-02-03 15:00:00,,0.121,8.123,10.0,21.216,,546.0,204964,122819,203550
52,2021-02-04 15:00:00,,0.124,8.327,10.327,22.566,,562.0,210118,126832,216500
53,2021-02-05 15:00:00,,0.128,8.533,10.617,23.772,,577.0,215322,130395,228065
54,2021-02-06 15:00:00,,0.131,8.668,10.782,24.385,,590.0,218723,132427,233952
55,2021-02-07 15:00:00,,0.132,8.726,10.869,24.741,,597.0,220189,133493,237363
56,2021-02-08 15:00:00,,0.135,8.852,11.042,25.538,,611.0,223382,135620,245015
57,2021-02-09 15:00:00,,0.138,9.012,11.262,26.571,,625.0,227413,138319,254922
58,2021-02-10 15:00:00,,0.144,9.179,11.515,27.817,,649.0,231627,141429,266878
59,2021-02-11 15:00:00,,0.149,9.406,11.84,29.185,,674.0,237338,145425,279999
60,2021-02-12 15:00:00,,0.151,9.637,12.172,30.278,,684.0,243174,149492,290487
61,2021-02-13 15:00:00,,0.155,9.748,12.338,30.962,,702.0,245988,151538,297047
62,2021-02-14 15:00:00,,0.16,9.832,12.451,31.337,,721.0,248103,152921,300643
63,2021-02-15 15:00:00,,0.162,9.945,12.602,32.072,,733.0,250941,154778,307699
64,2021-02-16 15:00:00,,0.168,10.116,12.867,33.011,,759.0,255262,158035,316707
65,2021-02-17 15:00:00,,0.169,10.365,13.213,34.066,,765.0,261546,162285,326830
66,2021-02-18 15:00:00,,0.17,10.405,13.271,34.221,,769.0,262549,162996,328312
67,2021-02-19 15:00:00,,0.173,10.513,13.423,34.808,,781.0,265296,164863,333942
68,2021-02-20 15:00:00,,0.178,10.625,13.58,35.385,,805.0,268116,166792,339484
69,2021-02-21 15:00:00,,0.181,10.681,13.661,35.778,,819.0,269516,167792,343253
70,2021-02-22 15:00:00,,0.184,10.762,13.779,36.249,,832.0,271570,169241,347771
71,2021-02-23 15:00:00,,0.192,10.927,14.02,37.124,,868.0,275725,172191,356167
72,2021-02-24 15:00:00,,0.199,11.121,14.329,38.086,,901.0,280621,175990,365395
73,2021-02-25 15:00:00,,0.207,11.317,14.629,39.309,,937.0,285571,179672,377126
