,VACCINATION_DATE,5-11 percent,12-17 percent,18-49 percent,50-64 percent,65 and Older percent,5-11 total,12-17 total,18-49 total,50-64 total,65 and Older total
0,2020-12-14 15:00:00,,,0.001,0.0,0.0,,,13,4,2
1,2020-12-15 15:00:00,,,0.002,0.002,0.001,,,48,30,6
2,2020-12-16 15:00:00,,,0.02,0.013,0.003,,,496,157,31
3,2020-12-17 15:00:00,,,0.051,0.039,0.01,,,1284,479,94
4,2020-12-18 15:00:00,,,0.126,0.115,0.03,,,3186,1418,289
5,2020-12-19 15:00:00,,,0.149,0.139,0.037,,,3768,1704,351
6,2020-12-20 15:00:00,,,0.159,0.147,0.039,,,4013,1804,377
7,2020-12-21 15:00:00,,,0.261,0.238,0.063,,,6578,2919,603
8,2020-12-22 15:00:00,,0.002,0.388,0.386,0.198,,8.0,9785,4742,1900
9,2020-12-23 15:00:00,,0.002,0.517,0.535,0.272,,9.0,13053,6568,2610
10,2020-12-24 15:00:00,,,0.581,0.607,0.297,,,14661,7457,2845
11,2020-12-25 15:00:00,,0.004,0.593,0.635,0.338,,18.0,14956,7795,3238
12,2020-12-26 15:00:00,,,0.622,0.686,0.393,,,15689,8422,3766
13,2020-12-27 15:00:00,,0.004,0.652,0.729,0.445,,20.0,16458,8954,4274
14,2020-12-28 15:00:00,,0.005,0.852,0.956,0.569,,24.0,21498,11742,5463
15,2020-12-29 15:00:00,,0.006,1.079,1.246,0.748,,25.0,27224,15306,7180
16,2020-12-30 15:00:00,,0.006,1.363,1.573,0.889,,27.0,34397,19322,8530
17,2020-12-31 15:00:00,,0.006,1.535,1.765,0.98,,29.0,38744,21680,9399
18,2021-01-01 15:00:00,,0.009,1.592,1.839,1.106,,39.0,40160,22584,10608
19,2021-01-02 15:00:00,,0.009,1.65,1.902,1.193,,42.0,41639,23359,11442
20,2021-01-03 15:00:00,,0.01,1.714,1.984,1.276,,43.0,43258,24372,12242
21,2021-01-04 15:00:00,,0.011,1.984,2.328,1.524,,50.0,50060,28593,14622
22,2021-01-05 15:00:00,,0.013,2.23,2.643,1.777,,60.0,56276,32459,17048
23,2021-01-06 15:00:00,,0.017,2.532,3.044,2.065,,77.0,63888,37383,19809
24,2021-01-07 15:00:00,,0.02,2.85,3.431,2.303,,89.0,71925,42134,22098
25,2021-01-08 15:00:00,,0.027,3.181,3.833,2.59,,123.0,80260,47078,24846
26,2021-01-09 15:00:00,,0.029,3.281,3.954,2.715,,129.0,82791,48559,26052
27,2021-01-10 15:00:00,,0.03,3.334,4.025,2.798,,134.0,84142,49439,26840
28,2021-01-11 15:00:00,,0.033,3.595,4.358,3.12,,151.0,90719,53523,29937
29,2021-01-12 15:00:00,,0.039,3.919,4.755,3.573,,177.0,98896,58405,34281
30,2021-01-13 15:00:00,,0.043,4.295,5.211,3.946,,194.0,108374,64007,37858
31,2021-01-14 15:00:00,,0.046,4.645,5.641,4.341,,206.0,117202,69289,41644
32,2021-01-15 15:00:00,,0.049,5.021,6.079,4.825,,223.0,126692,74669,46291
33,2021-01-16 15:00:00,,0.05,5.122,6.178,5.043,,224.0,129244,75882,48384
34,2021-01-17 15:00:00,,0.05,5.156,6.224,5.116,,228.0,130115,76439,49084
35,2021-01-18 15:00:00,,0.052,5.241,6.336,5.491,,234.0,132248,77815,52676
36,2021-01-19 15:00:00,,0.054,5.433,6.568,6.459,,244.0,137089,80664,61964
37,2021-01-20 15:00:00,,0.056,5.657,6.851,7.696,,254.0,142755,84147,73838
38,2021-01-21 15:00:00,,0.06,5.945,7.201,8.977,,269.0,150025,88444,86128
39,2021-01-22 15:00:00,,0.063,6.322,7.678,10.363,,284.0,159540,94303,99420
40,2021-01-23 15:00:00,,0.066,6.45,7.824,10.897,,296.0,162761,96099,104543
41,2021-01-24 15:00:00,,0.069,6.481,7.871,11.107,,310.0,163534,96670,106562
42,2021-01-25 15:00:00,,0.071,6.651,8.078,12.098,,320.0,167823,99213,116069
43,2021-01-26 15:00:00,,0.074,6.842,8.302,13.14,,333.0,172655,101968,126064
44,2021-01-27 15:00:00,,0.078,7.079,8.593,14.692,,354.0,178636,105544,140953
45,2021-01-28 15:00:00,,0.082,7.309,8.889,16.072,,370.0,184442,109173,154191
46,2021-01-29 15:00:00,,0.095,7.547,9.21,17.618,,428.0,190445,113118,169028
47,2021-01-30 15:00:00,,0.099,7.722,9.425,18.739,,447.0,194854,115759,179778
48,2021-01-31 15:00:00,,0.101,7.775,9.489,18.909,,458.0,196198,116540,181416
49,2021-02-01 15:00:00,,0.112,7.853,9.607,19.412,,505.0,198168,117994,186242
50,2021-02-02 15:00:00,,0.118,7.971,9.779,20.189,,535.0,201131,120105,193696
51,2021-02-03 15:00:00,,0.124,8.157,10.038,21.272,,560.0,205843,123293,204086
52,2021-02-04 15:00:00,,0.127,8.362,10.367,22.623,,576.0,211010,127330,217047
53,2021-02-05 15:00:00,,0.131,8.57,10.66,23.833,,591.0,216256,130923,228653
54,2021-02-06 15:00:00,,0.134,8.707,10.827,24.449,,604.0,219711,132977,234563
55,2021-02-07 15:00:00,,0.135,8.767,10.915,24.806,,611.0,221224,134064,237989
56,2021-02-08 15:00:00,,0.139,8.895,11.09,25.605,,626.0,224445,136207,245656
57,2021-02-09 15:00:00,,0.142,9.055,11.311,26.64,,641.0,228492,138923,255583
58,2021-02-10 15:00:00,,0.147,9.223,11.566,27.889,,666.0,232738,142053,267563
59,2021-02-11 15:00:00,,0.153,9.45,11.892,29.267,,692.0,238459,146057,280782
