,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,AdditionalDailyDose,AdditionalDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccinations,FirstSecondSingleVaccinationsCumulative
0,2020-12-14 15:00:00,19,1582,,550,,2,,,19,1582,0,550,19,2069
1,2020-12-15 15:00:00,65,1647,3.0,553,,2,,,65,1647,3,553,68,2137
2,2020-12-16 15:00:00,600,2247,6.0,559,,2,,,600,2247,6,559,606,2743
3,2020-12-17 15:00:00,1173,3420,8.0,567,,2,,,1173,3420,8,567,1181,3924
4,2020-12-18 15:00:00,3036,6456,12.0,579,,2,,,3036,6456,12,579,3048,6972
5,2020-12-19 15:00:00,930,7386,8.0,587,,2,,,930,7386,8,587,938,7910
6,2020-12-20 15:00:00,371,7757,6.0,593,,2,,,371,7757,6,593,377,8287
7,2020-12-21 15:00:00,3906,11663,29.0,622,,2,,,3906,11663,29,622,3935,12222
8,2020-12-22 15:00:00,6335,17998,32.0,654,,2,,,6335,17998,32,654,6367,18589
9,2020-12-23 15:00:00,5805,23803,43.0,697,,2,,,5805,23803,43,697,5848,24437
10,2020-12-24 15:00:00,2732,26535,16.0,713,,2,,,2732,26535,16,713,2748,27185
11,2020-12-25 15:00:00,1035,27570,4.0,717,,2,,,1035,27570,4,717,1039,28224
12,2020-12-26 15:00:00,1888,29458,10.0,727,,2,,,1888,29458,10,727,1898,30122
13,2020-12-27 15:00:00,1811,31269,12.0,739,,2,,,1811,31269,12,739,1823,31945
14,2020-12-28 15:00:00,9021,40290,54.0,793,,2,,,9021,40290,54,793,9075,41020
15,2020-12-29 15:00:00,11008,51298,56.0,849,,2,,,11008,51298,56,849,11064,52084
16,2020-12-30 15:00:00,12541,63839,99.0,948,1.0,3,,,12541,63839,99,948,12641,64725
17,2020-12-31 15:00:00,7576,71415,50.0,998,,3,,,7576,71415,50,998,7626,72351
18,2021-01-01 15:00:00,3539,74954,152.0,1150,8.0,11,,,3539,74954,152,1150,3699,76050
19,2021-01-02 15:00:00,3091,78045,35.0,1185,,11,,,3091,78045,35,1185,3126,79176
20,2021-01-03 15:00:00,3433,81478,83.0,1268,,11,,,3433,81478,83,1268,3516,82692
21,2021-01-04 15:00:00,13410,94888,352.0,1620,2.0,13,,,13410,94888,352,1620,13764,96456
22,2021-01-05 15:00:00,12518,107406,563.0,2183,1.0,14,,,12518,107406,563,2183,13082,109538
23,2021-01-06 15:00:00,15314,122720,882.0,3065,1.0,15,,,15314,122720,882,3065,16197,125735
24,2021-01-07 15:00:00,15087,137807,1800.0,4865,,15,,,15087,137807,1800,4865,16887,142622
25,2021-01-08 15:00:00,24061,161868,2808.0,7673,,15,,,24061,161868,2808,7673,26869,169491
26,2021-01-09 15:00:00,5224,167092,963.0,8636,,15,,,5224,167092,963,8636,6187,175678
27,2021-01-10 15:00:00,3024,170116,391.0,9027,,15,,,3024,170116,391,9027,3415,179093
28,2021-01-11 15:00:00,13775,183891,3495.0,12522,2.0,17,,,13775,183891,3495,12522,17272,196365
29,2021-01-12 15:00:00,17429,201320,5606.0,18128,,17,,,17429,201320,5606,18128,23035,219400
30,2021-01-13 15:00:00,18674,219994,3952.0,22080,,17,,,18674,219994,3952,22080,22626,242026
31,2021-01-14 15:00:00,17908,237902,1980.0,24060,1.0,18,,,17908,237902,1980,24060,19889,261915
32,2021-01-15 15:00:00,19534,257436,2051.0,26111,3.0,21,,,19534,257436,2051,26111,21588,283503
33,2021-01-16 15:00:00,5859,263295,1635.0,27746,,21,,,5859,263295,1635,27746,7494,290997
34,2021-01-17 15:00:00,2132,265427,1483.0,29229,1.0,22,,,2132,265427,1483,29229,3616,294613
35,2021-01-18 15:00:00,7107,272534,3283.0,32512,3.0,25,,,7107,272534,3283,32512,10393,305006
36,2021-01-19 15:00:00,16988,289522,5444.0,37956,,25,,,16988,289522,5444,37956,22432,327438
37,2021-01-20 15:00:00,21033,310555,5363.0,43319,2.0,27,,,21033,310555,5363,43319,26398,353836
38,2021-01-21 15:00:00,23870,334425,3897.0,47216,2.0,29,,,23870,334425,3897,47216,27769,381605
39,2021-01-22 15:00:00,28681,363106,3793.0,51009,,29,,,28681,363106,3793,51009,32474,414079
40,2021-01-23 15:00:00,10152,373258,1959.0,52968,1.0,30,,,10152,373258,1959,52968,12112,426191
41,2021-01-24 15:00:00,3377,376635,1731.0,54699,1.0,31,,,3377,376635,1731,54699,5109,431300
42,2021-01-25 15:00:00,16349,392984,8652.0,63351,2.0,33,,,16349,392984,8652,63351,25003,456303
43,2021-01-26 15:00:00,17593,410577,9012.0,72363,2.0,35,,,17593,410577,9012,72363,26607,482910
44,2021-01-27 15:00:00,24467,435044,12621.0,84984,2.0,37,,,24467,435044,12621,84984,37090,520000
45,2021-01-28 15:00:00,22689,457733,9366.0,94350,3.0,40,,,22689,457733,9366,94350,32058,552058
46,2021-01-29 15:00:00,24841,482574,7978.0,102328,9.0,49,,,24841,482574,7978,102328,32828,584886
