,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,AdditionalDailyDose,AdditionalDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccinations,FirstSecondSingleVaccinationsCumulative
0,2020-12-14,19,1320,,514,,,,,19,1320,0,514,19,1730
1,2020-12-15,59,1379,3.0,517,,,,,59,1379,3,517,62,1792
2,2020-12-16,587,1966,5.0,522,,,,,587,1966,5,522,592,2384
3,2020-12-17,1154,3120,5.0,527,,,,,1154,3120,5,527,1159,3543
4,2020-12-18,3010,6130,13.0,540,,,,,3010,6130,13,540,3023,6566
5,2020-12-19,928,7058,5.0,545,,,,,928,7058,5,545,933,7499
6,2020-12-20,358,7416,5.0,550,,,,,358,7416,5,550,363,7862
7,2020-12-21,3883,11299,26.0,576,,,,,3883,11299,26,576,3909,11771
8,2020-12-22,6318,17617,25.0,601,,,,,6318,17617,25,601,6343,18114
9,2020-12-23,5772,23389,35.0,636,,,,,5772,23389,35,636,5807,23921
10,2020-12-24,2722,26111,16.0,652,,,,,2722,26111,16,652,2738,26659
11,2020-12-25,1034,27145,4.0,656,,,,,1034,27145,4,656,1038,27697
12,2020-12-26,1881,29026,9.0,665,,,,,1881,29026,9,665,1890,29587
13,2020-12-27,1803,30829,10.0,675,,,,,1803,30829,10,675,1813,31400
14,2020-12-28,8979,39808,47.0,722,,,,,8979,39808,47,722,9026,40426
15,2020-12-29,10956,50764,50.0,772,,,,,10956,50764,50,772,11006,51432
16,2020-12-30,12484,63248,87.0,859,,,,,12484,63248,87,859,12571,64003
17,2020-12-31,7547,70795,45.0,904,,,,,7547,70795,45,904,7592,71595
18,2021-01-01,3166,73961,136.0,1040,,,,,3166,73961,136,1040,3302,74897
19,2021-01-02,3034,76995,34.0,1074,,,,,3034,76995,34,1074,3068,77965
20,2021-01-03,3402,80397,81.0,1155,,,,,3402,80397,81,1155,3483,81448
21,2021-01-04,13348,93745,331.0,1486,,,,,13348,93745,331,1486,13679,95127
22,2021-01-05,12460,106205,542.0,2028,,,,,12460,106205,542,2028,13002,108129
23,2021-01-06,15238,121443,858.0,2886,,,,,15238,121443,858,2886,16096,124225
24,2021-01-07,15010,136453,1760.0,4646,,,,,15010,136453,1760,4646,16770,140995
25,2021-01-08,24000,160453,2772.0,7418,,,,,24000,160453,2772,7418,26772,167767
26,2021-01-09,5160,165613,951.0,8369,,,,,5160,165613,951,8369,6111,173878
27,2021-01-10,2964,168577,380.0,8749,,,,,2964,168577,380,8749,3344,177222
28,2021-01-11,13708,182285,3465.0,12214,,,,,13708,182285,3465,12214,17173,194395
29,2021-01-12,17372,199657,5585.0,17799,,,,,17372,199657,5585,17799,22957,217352
30,2021-01-13,18598,218255,3909.0,21708,,,,,18598,218255,3909,21708,22507,239859
31,2021-01-14,17830,236085,1957.0,23665,,,,,17830,236085,1957,23665,19787,259646
32,2021-01-15,19452,255537,2023.0,25688,,,,,19452,255537,2023,25688,21475,281121
33,2021-01-16,5816,261353,1612.0,27300,,,,,5816,261353,1612,27300,7428,288549
34,2021-01-17,2115,263468,1478.0,28778,,,,,2115,263468,1478,28778,3593,292142
35,2021-01-18,7069,270537,3253.0,32031,,,,,7069,270537,3253,32031,10322,302464
36,2021-01-19,16933,287470,5397.0,37428,,,,,16933,287470,5397,37428,22330,324794
37,2021-01-20,20995,308465,5313.0,42741,,,,,20995,308465,5313,42741,26308,351102
38,2021-01-21,23781,332246,3828.0,46569,,,,,23781,332246,3828,46569,27609,378711
39,2021-01-22,28651,360897,3737.0,50306,,,,,28651,360897,3737,50306,32388,411099
40,2021-01-23,10109,371006,1934.0,52240,,,,,10109,371006,1934,52240,12043,423142
41,2021-01-24,3350,374356,1722.0,53962,,,,,3350,374356,1722,53962,5072,428214
42,2021-01-25,16297,390653,8591.0,62553,,,,,16297,390653,8591,62553,24888,453102
43,2021-01-26,17547,408200,8962.0,71515,,,,,17547,408200,8962,71515,26509,479611
44,2021-01-27,24431,432631,12539.0,84054,,,,,24431,432631,12539,84054,36970,516581
45,2021-01-28,22646,455277,9319.0,93373,,,,,22646,455277,9319,93373,31965,548546
46,2021-01-29,24766,480043,7913.0,101286,,,,,24766,480043,7913,101286,32679,581225
47,2021-01-30,17771,497814,2548.0,103834,,,,,17771,497814,2548,103834,20319,601544
48,2021-01-31,3758,501572,1357.0,105191,,,,,3758,501572,1357,105191,5115,606659
49,2021-02-01,8027,509599,5325.0,110516,,,,,8027,509599,5325,110516,13352,620011
50,2021-02-02,12476,522075,13816.0,124332,,,,,12476,522075,13816,124332,26292,646303
51,2021-02-03,18237,540312,18115.0,142447,,,,,18237,540312,18115,142447,36352,682655
52,2021-02-04,22104,562416,15763.0,158210,,,,,22104,562416,15763,158210,37867,720522
53,2021-02-05,20337,582753,17399.0,175609,,,,,20337,582753,17399,175609,37736,758258
54,2021-02-06,11316,594069,14462.0,190071,,,,,11316,594069,14462,190071,25778,784036
55,2021-02-07,5945,600014,1829.0,191900,,,,,5945,600014,1829,191900,7774,791810
56,2021-02-08,12968,612982,12909.0,204809,,,,,12968,612982,12909,204809,25877,817687
57,2021-02-09,16638,629620,13861.0,218670,,,,,16638,629620,13861,218670,30499,848186
58,2021-02-10,19275,648895,21223.0,239893,,,,,19275,648895,21223,239893,40498,888684
59,2021-02-11,22838,671733,17325.0,257218,,,,,22838,671733,17325,257218,40163,928847
60,2021-02-12,20382,692115,19605.0,276823,,,,,20382,692115,19605,276823,39987,968834
61,2021-02-13,11436,703551,6407.0,283230,,,,,11436,703551,6407,283230,17843,986677
62,2021-02-14,7106,710657,2117.0,285347,,,,,7106,710657,2117,285347,9223,995900
63,2021-02-15,11757,722414,13315.0,298662,,,,,11757,722414,13315,298662,25072,1020972
64,2021-02-16,16596,739010,21001.0,319663,,,,,16596,739010,21001,319663,37597,1058569
65,2021-02-17,20648,759658,26362.0,346025,,,,,20648,759658,26362,346025,47010,1105579
66,2021-02-18,3194,762852,4615.0,350640,,,,,3194,762852,4615,350640,7809,1113388
67,2021-02-19,10254,773106,19920.0,370560,,,,,10254,773106,19920,370560,30174,1143562
68,2021-02-20,10305,783411,20276.0,390836,,,,,10305,783411,20276,390836,30581,1174143
69,2021-02-21,6168,789579,7636.0,398472,,,,,6168,789579,7636,398472,13804,1187947
70,2021-02-22,8029,797608,15462.0,413934,,,,,8029,797608,15462,413934,23491,1211438
71,2021-02-23,15516,813124,15970.0,429904,,,,,15516,813124,15970,429904,31486,1242924
72,2021-02-24,17938,831062,24738.0,454642,,,,,17938,831062,24738,454642,42676,1285600
73,2021-02-25,20389,851451,26541.0,481183,,,,,20389,851451,26541,481183,46930,1332530
74,2021-02-26,26715,878166,26192.0,507375,,,,,26715,878166,26192,507375,52907,1385437
75,2021-02-27,15994,894160,11150.0,518525,,,,,15994,894160,11150,518525,27144,1412581
76,2021-02-28,15496,909656,4871.0,523396,,,,,15496,909656,4871,523396,20367,1432948
77,2021-03-01,26844,936500,12562.0,535958,,,,,26844,936500,12562,535958,39406,1472354
78,2021-03-02,23906,960406,13260.0,549218,,,32.0,32.0,23938,960438,13292,549250,37198,1509552
79,2021-03-03,30179,990585,18381.0,567599,,,186.0,218.0,30365,990803,18567,567817,48746,1558298
80,2021-03-04,30947,1021532,18178.0,585777,,,4067.0,4285.0,35014,1025817,22245,590062,53192,1611490
81,2021-03-05,30005,1051537,19704.0,605481,,,4910.0,9195.0,34915,1060732,24614,614676,54619,1666109
82,2021-03-06,18904,1070441,9501.0,614982,,,6006.0,15201.0,24910,1085642,15507,630183,34411,1700520
83,2021-03-07,12116,1082557,4848.0,619830,,,6612.0,21813.0,18728,1104370,11460,641643,23576,1724096
84,2021-03-08,25861,1108418,8831.0,628661,,,8277.0,30090.0,34138,1138508,17108,658751,42969,1767065
85,2021-03-09,26110,1134528,15453.0,644114,,,8345.0,38435.0,34455,1172963,23798,682549,49908,1816973
86,2021-03-10,29841,1164369,15981.0,660095,,,7940.0,46375.0,37781,1210744,23921,706470,53762,1870735
87,2021-03-11,35970,1200339,16395.0,676490,,,3981.0,50356.0,39951,1250695,20376,726846,56346,1927081
88,2021-03-12,36902,1237241,18084.0,694574,,,2923.0,53279.0,39825,1290520,21007,747853,57909,1984990
89,2021-03-13,22655,1259896,10276.0,704850,,,1626.0,54905.0,24281,1314801,11902,759755,34557,2019547
90,2021-03-14,17833,1277729,6712.0,711562,,,1004.0,55909.0,18837,1333638,7716,767471,25549,2045096
91,2021-03-15,29807,1307536,11285.0,722847,,,596.0,56505.0,30403,1364041,11881,779352,41688,2086784
92,2021-03-16,33410,1340946,13561.0,736408,,,769.0,57274.0,34179,1398220,14330,793682,47740,2134524
93,2021-03-17,37556,1378502,17032.0,753440,,,1180.0,58454.0,38736,1436956,18212,811894,55768,2190292
94,2021-03-18,41430,1419932,12623.0,766063,,,1348.0,59802.0,42778,1479734,13971,825865,55401,2245693
95,2021-03-19,38318,1458250,15413.0,781476,,,1036.0,60838.0,39354,1519088,16449,842314,54767,2300460
96,2021-03-20,24687,1482937,10143.0,791619,,,702.0,61540.0,25389,1544477,10845,853159,35532,2335992
97,2021-03-21,19167,1502104,7866.0,799485,,,336.0,61876.0,19503,1563980,8202,861361,27369,2363361
98,2021-03-22,32576,1534680,11462.0,810947,,,835.0,62711.0,33411,1597391,12297,873658,44873,2408234
99,2021-03-23,38414,1573094,17785.0,828732,,,1553.0,64264.0,39967,1637358,19338,892996,57752,2465986
100,2021-03-24,41069,1614163,21185.0,849917,,,1384.0,65648.0,42453,1679811,22569,915565,63638,2529624
101,2021-03-25,42864,1657027,21673.0,871590,,,2458.0,68106.0,45322,1725133,24131,939696,66995,2596619
102,2021-03-26,36330,1693357,26660.0,898250,,,2496.0,70602.0,38826,1763959,29156,968852,65486,2662105
103,2021-03-27,26459,1719816,17272.0,915522,,,2491.0,73093.0,28950,1792909,19763,988615,46222,2708327
104,2021-03-28,17005,1736821,12632.0,928154,,,1616.0,74709.0,18621,1811530,14248,1002863,31253,2739580
105,2021-03-29,29710,1766531,26266.0,954420,,,1140.0,75849.0,30850,1842380,27406,1030269,57116,2796696
106,2021-03-30,40041,1806572,28974.0,983394,,,1860.0,77709.0,41901,1884281,30834,1061103,70875,2867571
107,2021-03-31,41026,1847598,34668.0,1018062,,,5746.0,83455.0,46772,1931053,40414,1101517,81440,2949011
108,2021-04-01,42238,1889836,40936.0,1058998,,,5722.0,89177.0,47960,1979013,46658,1148175,88896,3037907
109,2021-04-02,34900,1924736,32650.0,1091648,,,6121.0,95298.0,41021,2020034,38771,1186946,73671,3111578
110,2021-04-03,21125,1945861,19176.0,1110824,,,4367.0,99665.0,25492,2045526,23543,1210489,44668,3156246
111,2021-04-04,8264,1954125,10182.0,1121006,,,965.0,100630.0,9229,2054755,11147,1221636,19411,3175657
112,2021-04-05,27928,1982053,28887.0,1149893,,,6653.0,107283.0,34581,2089336,35540,1257176,63468,3239125
113,2021-04-06,39753,2021806,30421.0,1180314,,,10488.0,117771.0,50241,2139577,40909,1298085,80662,3319787
114,2021-04-07,36058,2057864,34246.0,1214560,,,12980.0,130751.0,49038,2188615,47226,1345311,83284,3403071
115,2021-04-08,42276,2100140,36068.0,1250628,,,13861.0,144612.0,56137,2244752,49929,1395240,92205,3495276
116,2021-04-09,34039,2134179,36304.0,1286932,,,14522.0,159134.0,48561,2293313,50826,1446066,84865,3580141
