,VACCINATION_DATE,5-11 percent,12-17 percent,18-49 percent,50-64 percent,65 and Older percent,5-11 total,12-17 total,18-49 total,50-64 total,65 and Older total
0,2020-12-14 15:00:00,,,0.001,0.0,0.0,,,13,4,2
1,2020-12-15 15:00:00,,,0.002,0.002,0.001,,,43,30,5
2,2020-12-16 15:00:00,,,0.019,0.013000000000000001,0.003,,,480,155,30
3,2020-12-17 15:00:00,,,0.05,0.038,0.009000000000000001,,,1256,472,91
4,2020-12-18 15:00:00,,,0.125,0.114,0.03,,,3144,1400,285
5,2020-12-19 15:00:00,,,0.14800000000000002,0.13699999999999998,0.036000000000000004,,,3725,1687,345
6,2020-12-20 15:00:00,,,0.157,0.145,0.038,,,3964,1783,368
7,2020-12-21 15:00:00,,,0.258,0.235,0.062,,,6515,2889,594
8,2020-12-22 15:00:00,,0.002,0.385,0.38299999999999995,0.19699999999999998,,8.0,9712,4707,1889
9,2020-12-23 15:00:00,,0.002,0.514,0.531,0.27,,9.0,12966,6521,2592
10,2020-12-24 15:00:00,,,0.5770000000000001,0.603,0.294,,,14570,7406,2825
11,2020-12-25 15:00:00,,0.004,0.589,0.631,0.335,,18.0,14864,7744,3218
12,2020-12-26 15:00:00,,,0.618,0.6809999999999999,0.39,,,15596,8365,3746
13,2020-12-27 15:00:00,,0.004,0.648,0.7240000000000001,0.44299999999999995,,20.0,16359,8895,4254
14,2020-12-28 15:00:00,,0.005,0.847,0.95,0.5670000000000001,,24.0,21370,11673,5440
15,2020-12-29 15:00:00,,0.006,1.073,1.239,0.745,,25.0,27071,15217,7150
16,2020-12-30 15:00:00,,0.006,1.3559999999999999,1.564,0.885,,27.0,34215,19212,8493
17,2020-12-31 15:00:00,,0.006,1.527,1.756,0.975,,29.0,38543,21565,9357
18,2021-01-01 15:00:00,,0.008,1.5759999999999998,1.8219999999999998,1.093,,38.0,39763,22374,10485
19,2021-01-02 15:00:00,,0.009000000000000001,1.633,1.8840000000000001,1.179,,39.0,41208,23140,11307
20,2021-01-03 15:00:00,,0.009000000000000001,1.6969999999999998,1.965,1.261,,40.0,42816,24140,12100
21,2021-01-04 15:00:00,,0.01,1.965,2.307,1.508,,46.0,49588,28338,14472
22,2021-01-05 15:00:00,,0.012,2.21,2.6210000000000004,1.76,,56.0,55769,32189,16890
23,2021-01-06 15:00:00,,0.016,2.51,3.02,2.046,,72.0,63345,37091,19634
24,2021-01-07 15:00:00,,0.018000000000000002,2.8280000000000003,3.405,2.283,,83.0,71350,41815,21904
25,2021-01-08 15:00:00,,0.025,3.157,3.806,2.568,,114.0,79658,46745,24635
26,2021-01-09 15:00:00,,0.027000000000000003,3.2560000000000002,3.925,2.6919999999999997,,120.0,82156,48212,25824
27,2021-01-10 15:00:00,,0.027999999999999997,3.3080000000000003,3.9960000000000004,2.773,,125.0,83474,49077,26600
28,2021-01-11 15:00:00,,0.031,3.568,4.327,3.093,,142.0,90026,53145,29671
29,2021-01-12 15:00:00,,0.037000000000000005,3.891,4.724,3.5439999999999996,,168.0,98176,58015,33997
30,2021-01-13 15:00:00,,0.040999999999999995,4.265,5.178999999999999,3.9130000000000003,,184.0,107628,63605,37537
31,2021-01-14 15:00:00,,0.043,4.614,5.607,4.303,,195.0,116435,68871,41283
32,2021-01-15 15:00:00,,0.046,4.989,6.045,4.784,,207.0,125895,74240,45894
33,2021-01-16 15:00:00,,0.046,5.0889999999999995,6.143,5.0,,208.0,128424,75448,47972
34,2021-01-17 15:00:00,,0.047,5.124,6.188,5.072,,212.0,129290,76002,48663
35,2021-01-18 15:00:00,,0.048,5.207999999999999,6.2989999999999995,5.445,,216.0,131408,77369,52243
36,2021-01-19 15:00:00,,0.05,5.399,6.53,6.4110000000000005,,226.0,136234,80201,61508
37,2021-01-20 15:00:00,,0.052000000000000005,5.622999999999999,6.812,7.648,,236.0,141885,83671,73372
38,2021-01-21 15:00:00,,0.055,5.91,7.1610000000000005,8.924,,249.0,149125,87956,85617
39,2021-01-22 15:00:00,,0.057999999999999996,6.287000000000001,7.638,10.307,,263.0,158635,93813,98887
40,2021-01-23 15:00:00,,0.061,6.414,7.784,10.839,,275.0,161839,95601,103992
41,2021-01-24 15:00:00,,0.064,6.444,7.83,11.049000000000001,,288.0,162601,96163,106005
42,2021-01-25 15:00:00,,0.066,6.6129999999999995,8.035,12.038,,298.0,166872,98689,115495
43,2021-01-26 15:00:00,,0.069,6.803,8.259,13.079,,311.0,171677,101435,125480
44,2021-01-27 15:00:00,,0.073,7.04,8.55,14.629000000000001,,331.0,177645,105008,140350
45,2021-01-28 15:00:00,,0.077,7.269,8.844,16.007,,347.0,183433,108628,153572
46,2021-01-29 15:00:00,,0.08900000000000001,7.506,9.164,17.552,,403.0,189402,112552,168391
47,2021-01-30 15:00:00,,0.09300000000000001,7.68,9.378,18.671,,422.0,193784,115187,179126
48,2021-01-31 15:00:00,,0.096,7.732,9.442,18.840999999999998,,433.0,195119,115966,180759
49,2021-02-01 15:00:00,,0.106,7.806,9.556000000000001,19.332,,478.0,196981,117370,185475
50,2021-02-02 15:00:00,,0.11199999999999999,7.922999999999999,9.727,20.105,,507.0,199926,119463,192884
51,2021-02-03 15:00:00,,0.11800000000000001,8.109,9.984,21.185,,532.0,204619,122619,203247
52,2021-02-04 15:00:00,,0.121,8.312999999999999,10.31,22.534000000000002,,547.0,209760,126628,216186
53,2021-02-05 15:00:00,,0.124,8.519,10.6,23.739,,562.0,214958,130191,227747
54,2021-02-06 15:00:00,,0.127,8.652999999999999,10.765,24.351999999999997,,575.0,218351,132220,233628
55,2021-02-07 15:00:00,,0.129,8.711,10.852,24.706999999999997,,582.0,219814,133285,237038
56,2021-02-08 15:00:00,,0.132,8.837,11.025,25.504,,596.0,222999,135409,244683
57,2021-02-09 15:00:00,,0.135,8.997,11.244000000000002,26.535999999999998,,610.0,227027,138103,254585
58,2021-02-10 15:00:00,,0.14,9.163,11.497,27.781,,634.0,231227,141208,266531
59,2021-02-11 15:00:00,,0.146,9.39,11.822000000000001,29.148000000000003,,658.0,236937,145202,279641
60,2021-02-12 15:00:00,,0.14800000000000002,9.621,12.152999999999999,30.24,,668.0,242769,149263,290122
61,2021-02-13 15:00:00,,0.152,9.732000000000001,12.319,30.924,,686.0,245583,151309,296680
62,2021-02-14 15:00:00,,0.156,9.816,12.432,31.298000000000002,,705.0,247696,152692,300271
63,2021-02-15 15:00:00,,0.159,9.927999999999999,12.583,32.033,,717.0,250530,154548,307326
64,2021-02-16 15:00:00,,0.16399999999999998,10.099,12.847999999999999,32.971,,743.0,254849,157802,316323
65,2021-02-17 15:00:00,,0.166,10.347999999999999,13.194,34.025,,749.0,261130,162048,326438
66,2021-02-18 15:00:00,,0.16699999999999998,10.388,13.252,34.18,,753.0,262130,162759,327917
67,2021-02-19 15:00:00,,0.16899999999999998,10.497,13.404000000000002,34.766,,765.0,264879,164625,333544
68,2021-02-20 15:00:00,,0.175,10.609000000000002,13.561,35.342,,789.0,267698,166559,339072
69,2021-02-21 15:00:00,,0.17800000000000002,10.664000000000001,13.642000000000001,35.735,,803.0,269090,167556,342837
70,2021-02-22 15:00:00,,0.18100000000000002,10.745,13.76,36.205999999999996,,816.0,271141,169003,347355
71,2021-02-23 15:00:00,,0.188,10.91,14.0,37.08,,851.0,275291,171948,355741
72,2021-02-24 15:00:00,,0.196,11.103,14.309000000000001,38.041,,884.0,280180,175740,364965
73,2021-02-25 15:00:00,,0.204,11.299000000000001,14.607999999999999,39.264,,920.0,285124,179423,376693
74,2021-02-26 15:00:00,,0.21,11.562000000000001,14.982999999999999,40.875,,950.0,291752,184022,392151
75,2021-02-27 15:00:00,,0.221,11.745,15.258,41.702,,998.0,296382,187399,400090
76,2021-02-28 15:00:00,,0.228,11.914000000000001,15.526,42.526,,1032.0,300642,190694,407997
77,2021-03-01 15:00:00,,0.242,12.224,16.033,43.854,,1093.0,308463,196923,420730
78,2021-03-02 15:00:00,,0.25,12.474,16.441,45.165,,1129.0,314777,201936,433307
79,2021-03-03 15:00:00,,0.26,12.825999999999999,16.987000000000002,46.7,,1174.0,323659,208640,448041
80,2021-03-04 15:00:00,,0.267,13.217,17.604,48.528999999999996,,1205.0,333526,216209,465588
81,2021-03-05 15:00:00,,0.276,13.564,18.195999999999998,50.495,,1245.0,342262,223485,484451
82,2021-03-06 15:00:00,,0.294,13.867,18.686,51.657,,1329.0,349930,229502,495592
83,2021-03-07 15:00:00,,0.304,14.115,19.052,52.485,,1372.0,356171,233997,503541
84,2021-03-08 15:00:00,,0.322,14.495,19.685,54.224,,1453.0,365762,241778,520226
85,2021-03-09 15:00:00,,0.34299999999999997,14.898,20.345,55.903,,1549.0,375922,249875,536328
86,2021-03-10 15:00:00,,0.36700000000000005,15.362,21.122,57.614,,1658.0,387632,259423,552744
87,2021-03-11 15:00:00,,0.402,15.876,21.979,59.31100000000001,,1816.0,400610,269952,569030
88,2021-03-12 15:00:00,,0.43200000000000005,16.382,22.83,61.027,,1954.0,413388,280398,585493
89,2021-03-13 15:00:00,,0.469,16.745,23.421,61.82899999999999,,2118.0,422550,287659,593187
90,2021-03-14 15:00:00,,0.503,17.059,23.892,62.35,,2273.0,430454,293445,598179
91,2021-03-15 15:00:00,,0.54,17.549,24.64,63.253,,2440.0,442835,302630,606849
92,2021-03-16 15:00:00,,0.5870000000000001,18.055999999999997,25.455,64.416,,2653.0,455633,312644,618003
93,2021-03-17 15:00:00,,0.644,18.614,26.363000000000003,65.797,,2910.0,469710,323794,631255
94,2021-03-18 15:00:00,,0.696,19.293,27.439,67.07,,3144.0,486828,337009,643466
95,2021-03-19 15:00:00,,0.741,19.894000000000002,28.462,68.259,,3349.0,502004,349575,654873
96,2021-03-20 15:00:00,,0.7979999999999999,20.34,29.171999999999997,68.795,,3606.0,513269,358298,660017
97,2021-03-21 15:00:00,,0.848,20.699,29.741,69.135,,3832.0,522303,365279,663279
98,2021-03-22 15:00:00,,0.9079999999999999,21.259,30.745,69.83,,4101.0,536434,377619,669950
99,2021-03-23 15:00:00,,0.976,21.895,32.014,70.667,,4409.0,552486,393201,677977
100,2021-03-24 15:00:00,,1.047,22.584,33.403,71.467,,4731.0,569890,410258,685647
101,2021-03-25 15:00:00,,1.124,23.358,34.917,72.181,,5080.0,589412,428859,692497
102,2021-03-26 15:00:00,,1.181,24.019000000000002,36.258,72.74600000000001,,5337.0,606090,445331,697922
103,2021-03-27 15:00:00,,1.237,24.52,37.244,73.157,,5588.0,618740,457440,701862
104,2021-03-28 15:00:00,,1.2819999999999998,24.84,37.955999999999996,73.325,,5792.0,626803,466178,703478
105,2021-03-29 15:00:00,,1.354,25.371,39.069,73.685,,6117.0,640204,479849,706931
106,2021-03-30 15:00:00,,1.469,26.115,40.548,74.148,,6637.0,658979,498011,711375
107,2021-03-31 15:00:00,,1.6219999999999999,26.98,42.058,74.743,,7328.0,680804,516562,717080
108,2021-04-01 15:00:00,,1.754,27.85,43.718999999999994,75.265,,7927.0,702758,536959,722090
109,2021-04-02 15:00:00,,1.9169999999999998,28.624000000000002,45.037,75.73899999999999,,8662.0,722306,553149,726638
110,2021-04-03 15:00:00,,2.05,29.184,45.757,75.939,,9262.0,736429,561998,728558
111,2021-04-04 15:00:00,,2.0980000000000003,29.392,46.00899999999999,76.009,,9480.0,741681,565089,729226
112,2021-04-05 15:00:00,,2.2840000000000003,30.134,46.97,76.343,,10321.0,760409,576891,732436
113,2021-04-06 15:00:00,,2.539,31.215,48.36600000000001,76.831,,11474.0,787678,594035,737111
114,2021-04-07 15:00:00,,2.804,32.275,49.708,77.311,,12672.0,814425,610517,741722
115,2021-04-08 15:00:00,,3.073,33.489000000000004,51.245,77.876,,13885.0,845050,629402,747136
116,2021-04-09 15:00:00,,3.31,34.575,52.526,78.33,,14957.0,872457,645125,751495
117,2021-04-10 15:00:00,,3.6210000000000004,35.274,53.333999999999996,78.55,,16365.0,890095,655059,753601
118,2021-04-11 15:00:00,,3.8560000000000003,35.961999999999996,53.975,78.694,,17427.0,907457,662925,754991
119,2021-04-12 15:00:00,,4.071000000000001,36.795,54.849,78.983,,18398.0,928469,673665,757756
120,2021-04-13 15:00:00,,4.473,37.795,55.883,79.24,,20212.0,953720,686362,760230
121,2021-04-14 15:00:00,,5.004,38.76,56.783,79.508,,22612.0,978057,697411,762795
122,2021-04-15 15:00:00,,5.351,39.77,57.711999999999996,79.765,,24180.0,1003542,708826,765264
123,2021-04-16 15:00:00,,5.782,40.635,58.532,80.029,,26128.0,1025375,718896,767792
124,2021-04-17 15:00:00,,6.3420000000000005,41.409,59.191,80.184,,28660.0,1044921,726987,769285
125,2021-04-18 15:00:00,,6.8020000000000005,41.89,59.592,80.281,,30737.0,1057053,731921,770210
126,2021-04-19 15:00:00,,7.097,42.58,60.238,80.476,,32073.0,1074462,739846,772088
127,2021-04-20 15:00:00,,7.435,43.286,60.902,80.706,,33599.0,1092283,748004,774293
128,2021-04-21 15:00:00,,8.094,44.229,61.696000000000005,80.956,,36577.0,1116074,757755,776689
129,2021-04-22 15:00:00,,8.485,45.074,62.458,81.202,,38344.0,1137396,767122,779044
130,2021-04-23 15:00:00,,8.914,45.845,63.172,81.433,,40284.0,1156849,775889,781267
131,2021-04-24 15:00:00,,9.392000000000001,46.486000000000004,63.71,81.595,,42442.0,1173012,782496,782819
132,2021-04-25 15:00:00,,9.791,46.952,64.089,81.704,,44247.0,1184774,787144,783862
133,2021-04-26 15:00:00,,10.11,47.583,64.639,81.911,,45687.0,1200709,793905,785847
