,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,AdditionalDailyDose,AdditionalDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccinations,FirstSecondSingleVaccinationsCumulative
0,2020-12-14,17,1050,,396,,,,,17,1050,0,396,17,1363
1,2020-12-15,54,1104,3.0,399,,,,,54,1104,3,399,57,1420
2,2020-12-16,577,1681,2.0,401,,,,,577,1681,2,401,579,1999
3,2020-12-17,1145,2826,2.0,403,,,,,1145,2826,2,403,1147,3146
4,2020-12-18,2993,5819,10.0,413,,,,,2993,5819,10,413,3003,6149
5,2020-12-19,919,6738,5.0,418,,,,,919,6738,5,418,924,7073
6,2020-12-20,340,7078,4.0,422,,,,,340,7078,4,422,344,7417
7,2020-12-21,3863,10941,22.0,444,,,,,3863,10941,22,444,3885,11302
8,2020-12-22,6295,17236,21.0,465,,,,,6295,17236,21,465,6316,17618
9,2020-12-23,5736,22972,32.0,497,,,,,5736,22972,32,497,5768,23386
10,2020-12-24,2717,25689,13.0,510,,,,,2717,25689,13,510,2730,26116
11,2020-12-25,1034,26723,3.0,513,,,,,1034,26723,3,513,1037,27153
12,2020-12-26,1873,28596,9.0,522,,,,,1873,28596,9,522,1882,29035
13,2020-12-27,1795,30391,10.0,532,,,,,1795,30391,10,532,1805,30840
14,2020-12-28,8958,39349,40.0,572,,,,,8958,39349,40,572,8998,39838
15,2020-12-29,10926,50275,44.0,616,,,,,10926,50275,44,616,10970,50808
16,2020-12-30,12466,62741,69.0,685,,,,,12466,62741,69,685,12535,63343
17,2020-12-31,7520,70261,37.0,722,,,,,7520,70261,37,722,7557,70900
18,2021-01-01,2694,72955,121.0,843,,,,,2694,72955,121,843,2815,73715
19,2021-01-02,2994,75949,34.0,877,,,,,2994,75949,34,877,3028,76743
20,2021-01-03,3374,79323,80.0,957,,,,,3374,79323,80,957,3454,80197
21,2021-01-04,13286,92609,320.0,1277,,,,,13286,92609,320,1277,13606,93803
22,2021-01-05,12423,105032,519.0,1796,,,,,12423,105032,519,1796,12942,106745
23,2021-01-06,15179,120211,844.0,2640,,,,,15179,120211,844,2640,16023,122768
24,2021-01-07,14958,135169,1738.0,4378,,,,,14958,135169,1738,4378,16696,139464
25,2021-01-08,23955,159124,2734.0,7112,,,,,23955,159124,2734,7112,26689,166153
26,2021-01-09,5139,164263,939.0,8051,,,,,5139,164263,939,8051,6078,172231
27,2021-01-10,2933,167196,371.0,8422,,,,,2933,167196,371,8422,3304,175535
28,2021-01-11,13682,180878,3437.0,11859,,,,,13682,180878,3437,11859,17119,192654
29,2021-01-12,17311,198189,5560.0,17419,,,,,17311,198189,5560,17419,22871,215525
30,2021-01-13,18513,216702,3866.0,21285,,,,,18513,216702,3866,21285,22379,237904
31,2021-01-14,17779,234481,1929.0,23214,,,,,17779,234481,1929,23214,19708,257612
32,2021-01-15,19386,253867,1980.0,25194,,,,,19386,253867,1980,25194,21366,278978
33,2021-01-16,5790,259657,1597.0,26791,,,,,5790,259657,1597,26791,7387,286365
34,2021-01-17,2104,261761,1470.0,28261,,,,,2104,261761,1470,28261,3574,289939
35,2021-01-18,7046,268807,3235.0,31496,,,,,7046,268807,3235,31496,10281,300220
36,2021-01-19,16883,285690,5370.0,36866,,,,,16883,285690,5370,36866,22253,322473
37,2021-01-20,20965,306655,5264.0,42130,,,,,20965,306655,5264,42130,26229,348702
