,VACCINATION_DATE,5-11 percent,12-17 percent,18-49 percent,50-64 percent,65 and Older percent,5-11 total,12-17 total,18-49 total,50-64 total,65 and Older total
0,12/14/2020,,,0.0,0.0,0.0,,,12,3,2
1,12/15/2020,,,0.002,0.002,0.001,,,39,27,5
2,12/16/2020,,,0.019,0.012,0.003,,,468,150,30
3,12/17/2020,,,0.049,0.038,0.009000000000000001,,,1238,466,89
4,12/18/2020,,,0.124,0.113,0.028999999999999998,,,3119,1385,282
5,12/19/2020,,,0.146,0.136,0.036000000000000004,,,3696,1667,342
6,12/20/2020,,,0.156,0.14300000000000002,0.038,,,3924,1758,363
7,12/21/2020,,,0.256,0.233,0.061,,,6463,2860,585
8,12/22/2020,,0.002,0.382,0.38,0.196,,7.0,9646,4671,1879
9,12/23/2020,,0.002,0.51,0.527,0.26899999999999996,,8.0,12878,6477,2576
10,12/24/2020,,,0.574,0.6,0.293,,,14475,7364,2809
11,12/25/2020,,0.004,0.585,0.627,0.33399999999999996,,17.0,14768,7703,3202
12,12/26/2020,,,0.614,0.6779999999999999,0.389,,,15493,8324,3729
13,12/27/2020,,0.004,0.644,0.721,0.441,,19.0,16253,8852,4234
14,12/28/2020,,0.005,0.8420000000000001,0.946,0.565,,23.0,21251,11623,5419
15,12/29/2020,,0.005,1.067,1.234,0.742,,24.0,26933,15162,7123
16,12/30/2020,,0.006,1.35,1.56,0.8809999999999999,,27.0,34066,19158,8457
17,12/31/2020,,0.006,1.521,1.75,0.971,,29.0,38383,21498,9318
18,1/1/2021,,0.008,1.5590000000000002,1.807,1.078,,35.0,39347,22193,10347
19,1/2/2021,,0.008,1.6159999999999999,1.868,1.163,,36.0,40779,22948,11153
20,1/3/2021,,0.008,1.679,1.949,1.244,,37.0,42374,23942,11937
21,1/4/2021,,0.009000000000000001,1.946,2.289,1.4909999999999999,,42.0,49113,28119,14302
22,1/5/2021,,0.011000000000000001,2.191,2.602,1.742,,51.0,55278,31958,16712
23,1/6/2021,,0.013999999999999999,2.49,2.9989999999999997,2.026,,65.0,62832,36839,19442
24,1/7/2021,,0.016,2.806,3.383,2.262,,74.0,70813,41550,21699
25,1/8/2021,,0.023,3.135,3.784,2.545,,103.0,79099,46471,24418
26,1/9/2021,,0.024,3.233,3.903,2.6689999999999996,,109.0,81582,47935,25604
27,1/10/2021,,0.025,3.285,3.972,2.7489999999999997,,113.0,82891,48786,26373
28,1/11/2021,,0.027999999999999997,3.5439999999999996,4.303,3.068,,128.0,89431,52848,29438
29,1/12/2021,,0.034,3.866,4.698,3.517,,152.0,97557,57707,33740
