ZIP,People with at least one vaccine dose,People with completed vaccine series,People with up-to-date vaccines,reportedDate
56446,642,621,189,8/3/2022
56295,144,138,54,8/3/2022
55732,798,775,321,8/3/2022
55902,23679,22298,14005,8/3/2022
56570,608,577,178,8/3/2022
55383,<= 5,<= 5,<= 5,8/3/2022
55550,<= 5,<= 5,<= 5,8/3/2022
55555,16,10,7,8/3/2022
56278,1728,1682,660,8/3/2022
56575,415,377,126,8/3/2022
55386,7580,7188,3510,8/3/2022
56641,225,204,85,8/3/2022
55107,10887,10063,4783,8/3/2022
56127,199,189,55,8/3/2022
55760,1807,1723,557,8/3/2022
56740,6,6,<= 5,8/3/2022
55752,226,223,73,8/3/2022
55605,416,396,208,8/3/2022
56128,1023,966,234,8/3/2022
55108,12227,11393,7541,8/3/2022
56019,409,402,111,8/3/2022
56714,545,530,151,8/3/2022
55734,3757,3589,1453,8/3/2022
55305,17843,16755,9423,8/3/2022
56325,88,84,41,8/3/2022
55408,27128,24688,13686,8/3/2022
55336,4825,4606,1520,8/3/2022
56316,701,659,237,8/3/2022
56118,189,182,51,8/3/2022
55402,777,673,351,8/3/2022
55407,31527,28787,15973,8/3/2022
55956,1204,1168,448,8/3/2022
56523,242,224,79,8/3/2022
55432,23457,21904,9725,8/3/2022
56080,421,402,136,8/3/2022
56653,656,637,186,8/3/2022
55411,19054,16906,6760,8/3/2022
56431,5554,5327,1973,8/3/2022
55330,26209,24950,10106,8/3/2022
56310,2752,2665,1066,8/3/2022
56721,6614,6128,2040,8/3/2022
56287,41,39,14,8/3/2022
55379,35495,33487,14497,8/3/2022
55474,10,9,<= 5,8/3/2022
56359,2051,1900,702,8/3/2022
55767,3032,2908,1440,8/3/2022
55047,1911,1822,903,8/3/2022
55613,151,146,72,8/3/2022
56633,3237,2913,977,8/3/2022
56288,3019,2883,1269,8/3/2022
56585,609,578,210,8/3/2022
55804,12703,12159,6783,8/3/2022
56356,141,135,48,8/3/2022
55376,11973,11422,4685,8/3/2022
55410,19347,18081,12051,8/3/2022
56393,<= 5,<= 5,<= 5,8/3/2022
56540,1070,1016,351,8/3/2022
56484,2477,2325,889,8/3/2022
55905,206,152,92,8/3/2022
56389,35,34,13,8/3/2022
56257,260,246,80,8/3/2022
56265,4497,4279,1648,8/3/2022
56568,85,81,21,8/3/2022
56563,127,103,49,8/3/2022
55390,1677,1602,530,8/3/2022
56637,137,134,52,8/3/2022
55721,2195,2108,727,8/3/2022
56701,7728,7399,2666,8/3/2022
55713,554,516,206,8/3/2022
56733,269,264,136,8/3/2022
56035,295,286,110,8/3/2022
56738,724,693,190,8/3/2022
55718,2371,2253,938,8/3/2022
56361,1239,1200,424,8/3/2022
55341,2084,1987,817,8/3/2022
56364,2356,2246,734,8/3/2022
55344,13040,12033,6046,8/3/2022
55449,25113,23900,11013,8/3/2022
56469,643,623,217,8/3/2022
55959,1525,1473,613,8/3/2022
55126,22834,21760,12019,8/3/2022
55443,28863,27166,12098,8/3/2022
55965,1611,1560,605,8/3/2022
56237,272,255,72,8/3/2022
55790,1395,1334,646,8/3/2022
56562,154,118,61,8/3/2022
55391,13386,12549,6531,8/3/2022
55473,<= 5,<= 5,<= 5,8/3/2022
56280,259,252,79,8/3/2022
56453,316,302,94,8/3/2022
56140,14,14,7,8/3/2022
56661,440,422,132,8/3/2022
55092,6461,6218,2438,8/3/2022
56470,6142,5780,1978,8/3/2022
55450,22,20,<= 5,8/3/2022
55745,9,9,<= 5,8/3/2022
56068,585,563,190,8/3/2022
56760,196,190,50,8/3/2022
56318,548,524,182,8/3/2022
55435,11977,11259,6619,8/3/2022
55338,613,582,164,8/3/2022
55074,1204,1148,474,8/3/2022
56054,487,474,145,8/3/2022
56759,176,169,47,8/3/2022
55779,2699,2583,1128,8/3/2022
56687,<= 5,<= 5,<= 5,8/3/2022
55084,945,894,401,8/3/2022
56672,1034,977,372,8/3/2022
56567,1572,1514,491,8/3/2022
55394,<= 5,<= 5,<= 5,8/3/2022
56220,1639,1574,617,8/3/2022
55972,3576,3442,1471,8/3/2022
56501,10502,9989,3665,8/3/2022
56397,<= 5,<= 5,<= 5,8/3/2022
56249,155,152,46,8/3/2022
56544,2619,2507,919,8/3/2022
56378,4100,3905,1528,8/3/2022
55358,2742,2618,873,8/3/2022
56475,731,699,243,8/3/2022
55455,713,531,253,8/3/2022
56522,275,255,66,8/3/2022
56676,801,761,268,8/3/2022
55085,254,249,99,8/3/2022
55002,<= 5,<= 5,<= 5,8/3/2022
56022,41,40,7,8/3/2022
55031,1122,1064,390,8/3/2022
56011,5545,5285,1985,8/3/2022
55990,556,544,181,8/3/2022
55431,15800,14987,8194,8/3/2022
56725,544,526,147,8/3/2022
56028,891,852,360,8/3/2022
55008,8788,8372,3286,8/3/2022
55705,1923,1843,741,8/3/2022
56720,15,13,<= 5,8/3/2022
56474,2001,1899,715,8/3/2022
56379,10347,9861,4105,8/3/2022
55359,4528,4292,1860,8/3/2022
55454,5139,4440,1601,8/3/2022
56129,415,389,121,8/3/2022
55109,26962,25466,11878,8/3/2022
55604,3098,2964,1699,8/3/2022
56170,269,259,64,8/3/2022
55783,1500,1420,572,8/3/2022
55150,170,164,83,8/3/2022
55738,293,274,93,8/3/2022
55616,5040,4816,2057,8/3/2022
56636,2886,2735,948,8/3/2022
55955,2010,1943,899,8/3/2022
56207,150,146,50,8/3/2022
55979,458,440,161,8/3/2022
55933,140,137,51,8/3/2022
56212,224,218,75,8/3/2022
55940,1651,1585,680,8/3/2022
56208,1212,1154,447,8/3/2022
55414,21630,19283,10873,8/3/2022
56434,62,60,17,8/3/2022
55319,3007,2886,1023,8/3/2022
56339,583,566,195,8/3/2022
55333,426,404,148,8/3/2022
56313,32,27,6,8/3/2022
55046,3381,3205,1135,8/3/2022
56063,2123,2027,800,8/3/2022
55043,2489,2370,1020,8/3/2022
55722,695,664,263,8/3/2022
56201,14605,13723,5745,8/3/2022
55953,524,494,195,8/3/2022
56069,2675,2539,990,8/3/2022
55744,12466,11941,4962,8/3/2022
55049,1551,1490,581,8/3/2022
56586,1000,956,318,8/3/2022
55807,7013,6604,3186,8/3/2022
56458,225,209,73,8/3/2022
55478,7,6,<= 5,8/3/2022
56355,294,287,98,8/3/2022
55375,3025,2900,1192,8/3/2022
55936,1157,1111,415,8/3/2022
56264,1165,1106,367,8/3/2022
56569,774,734,257,8/3/2022
56168,502,477,118,8/3/2022
56084,6,6,<= 5,8/3/2022
56657,255,248,123,8/3/2022
56399,<= 5,<= 5,<= 5,8/3/2022
55939,1123,1091,451,8/3/2022
55395,1542,1488,548,8/3/2022
56566,337,297,92,8/3/2022
55952,1487,1412,533,8/3/2022
55442,10811,10314,5629,8/3/2022
56467,1429,1343,470,8/3/2022
55447,17365,16389,8892,8/3/2022
55599,<= 5,<= 5,<= 5,8/3/2022
56353,4154,3932,1478,8/3/2022
56580,687,647,223,8/3/2022
55373,3619,3434,1384,8/3/2022
56007,13568,12944,5669,8/3/2022
55027,1774,1687,661,8/3/2022
55730,10,8,<= 5,8/3/2022
56710,225,218,74,8/3/2022
56660,118,114,28,8/3/2022
56729,63,60,22,8/3/2022
56024,2302,2202,910,8/3/2022
55709,2387,2303,852,8/3/2022
55725,102,97,23,8/3/2022
56090,320,307,101,8/3/2022
56517,118,112,32,8/3/2022
55129,26251,24851,12935,8/3/2022
55382,2018,1937,702,8/3/2022
56571,1252,1200,462,8/3/2022
56161,215,206,59,8/3/2022
55792,5900,5600,2383,8/3/2022
55329,984,945,348,8/3/2022
55985,979,938,367,8/3/2022
56309,765,737,264,8/3/2022
55424,9433,8824,5137,8/3/2022
55127,15358,14659,7779,8/3/2022
56666,781,727,465,8/3/2022
55798,352,335,109,8/3/2022
55090,344,326,142,8/3/2022
56663,115,104,34,8/3/2022
55949,1356,1305,531,8/3/2022
56516,162,158,36,8/3/2022
55963,3946,3802,1756,8/3/2022
56231,207,199,80,8/3/2022
55320,2724,2586,995,8/3/2022
55437,16021,15163,8366,8/3/2022
55349,2037,1960,632,8/3/2022
55444,13169,12407,5297,8/3/2022
