ZIP,People with at least one vaccine dose,People with completed vaccine series,People with up-to-date vaccines,reportedDate
56369,309,292,112,8/3/2022
56464,1827,1732,594,8/3/2022
56323,259,249,81,8/3/2022
55303,32145,30637,12111,8/3/2022
55422,23113,21833,12249,8/3/2022
55983,855,821,296,8/3/2022
56033,180,172,73,8/3/2022
55013,4461,4246,1835,8/3/2022
56078,260,254,94,8/3/2022
55101,6160,5666,3260,8/3/2022
56121,299,286,86,8/3/2022
55087,218,206,72,8/3/2022
55029,51,48,12,8/3/2022
55724,569,546,215,8/3/2022
56009,910,890,364,8/3/2022
56248,417,403,136,8/3/2022
56396,<= 5,<= 5,<= 5,8/3/2022
56545,390,373,100,8/3/2022
55384,1270,1200,611,8/3/2022
56577,10,9,<= 5,8/3/2022
56727,393,379,104,8/3/2022
55707,2184,2082,802,8/3/2022
56473,1865,1796,615,8/3/2022
56742,473,458,149,8/3/2022
55810,6516,6228,2949,8/3/2022
56342,1594,1502,563,8/3/2022
56591,216,191,63,8/3/2022
55362,11408,10758,3907,8/3/2022
56371,53,50,15,8/3/2022
56525,47,43,16,8/3/2022
56228,450,431,122,8/3/2022
55082,28589,27258,13292,8/3/2022
56671,3212,2974,1847,8/3/2022
56726,769,726,211,8/3/2022
55706,1220,1177,497,8/3/2022
56081,3873,3640,1284,8/3/2022
56652,224,210,78,8/3/2022
56173,103,94,17,8/3/2022
55780,230,194,63,8/3/2022
56139,233,222,64,8/3/2022
55119,31768,29802,13169,8/3/2022
55614,1548,1483,617,8/3/2022
56634,653,617,196,8/3/2022
56521,399,385,104,8/3/2022
55612,529,480,263,8/3/2022
55070,4153,3936,1413,8/3/2022
56683,383,359,133,8/3/2022
56050,936,905,359,8/3/2022
56283,3922,3760,1460,8/3/2022
55470,12,10,<= 5,8/3/2022
56450,752,714,269,8/3/2022
55115,7180,6826,3515,8/3/2022
56761,199,193,48,8/3/2022
55741,1948,1866,739,8/3/2022
55415,4740,4162,2523,8/3/2022
56435,1258,1200,426,8/3/2022
56338,820,768,254,8/3/2022
55318,22412,21270,9958,8/3/2022
56034,336,320,141,8/3/2022
55014,20327,19365,8633,8/3/2022
55719,3139,2990,1243,8/3/2022
55125,36470,34663,17746,8/3/2022
55436,12962,12169,7239,8/3/2022
55317,18421,17470,9146,8/3/2022
55106,42089,38954,16485,8/3/2022
55961,246,239,90,8/3/2022
55964,2984,2824,1074,8/3/2022
56236,194,190,72,8/3/2022
56143,2539,2441,780,8/3/2022
56502,311,285,92,8/3/2022
55301,7427,6988,2792,8/3/2022
56321,309,270,162,8/3/2022
55304,32973,31542,13023,8/3/2022
56324,594,555,188,8/3/2022
55409,10676,9984,6064,8/3/2022
56031,6991,6696,2631,8/3/2022
55011,6040,5762,2065,8/3/2022
55756,269,259,104,8/3/2022
55077,10710,10147,4785,8/3/2022
56057,2496,2362,850,8/3/2022
56684,186,182,63,8/3/2022
55032,1883,1814,638,8/3/2022
55103,9418,8577,3782,8/3/2022
56123,297,284,77,8/3/2022
55054,1412,1359,510,8/3/2022
56074,1234,1200,408,8/3/2022
56320,4966,4700,1945,8/3/2022
56279,591,569,206,8/3/2022
55554,<= 5,<= 5,<= 5,8/3/2022
56574,160,155,45,8/3/2022
55387,10495,10046,4502,8/3/2022
56547,1592,1504,485,8/3/2022
55918,585,568,217,8/3/2022
56147,86,83,24,8/3/2022
56273,2809,2706,1245,8/3/2022
55480,7,6,<= 5,8/3/2022
55921,2736,2618,1012,8/3/2022
55388,3549,3423,1219,8/3/2022
56276,131,129,42,8/3/2022
55485,<= 5,<= 5,<= 5,8/3/2022
55924,728,693,230,8/3/2022
55102,16026,14856,8429,8/3/2022
56122,278,256,51,8/3/2022
55352,6101,5835,2253,8/3/2022
56372,<= 5,<= 5,<= 5,8/3/2022
56340,857,808,280,8/3/2022
55360,1864,1801,614,8/3/2022
56593,10,10,<= 5,8/3/2022
55812,6508,6065,3557,8/3/2022
55121,7501,7022,3485,8/3/2022
56101,3797,3627,1091,8/3/2022
56071,8272,7864,3057,8/3/2022
55051,5257,5027,1977,8/3/2022
55009,5264,5085,2189,8/3/2022
56724,76,74,20,8/3/2022
55704,524,489,167,8/3/2022
56029,402,382,136,8/3/2022
55110,29547,28211,13822,8/3/2022
55733,3773,3605,1681,8/3/2022
56713,489,468,105,8/3/2022
55981,2920,2829,1256,8/3/2022
55420,18017,16803,7904,8/3/2022
56187,10043,9335,3077,8/3/2022
55079,4879,4711,1714,8/3/2022
56754,278,266,81,8/3/2022
56344,33,29,13,8/3/2022
55816,190,185,71,8/3/2022
56449,787,761,247,8/3/2022
55364,11177,10519,4615,8/3/2022
56368,2495,2390,820,8/3/2022
56465,1331,1271,483,8/3/2022
55348,15,13,8,8/3/2022
55445,10537,9930,4339,8/3/2022
55757,503,483,179,8/3/2022
55793,359,338,145,8/3/2022
56160,129,118,39,8/3/2022
55927,2481,2371,950,8/3/2022
56578,493,475,191,8/3/2022
55749,241,231,75,8/3/2022
55044,47269,44848,20773,8/3/2022
56048,2409,2344,922,8/3/2022
55765,448,429,152,8/3/2022
55068,24079,22923,11024,8/3/2022
56256,1584,1540,573,8/3/2022
56388,6,6,<= 5,8/3/2022
55904,21813,20526,9729,8/3/2022
56367,3745,3613,1316,8/3/2022
55347,27158,25730,14244,8/3/2022
55746,10116,9640,3574,8/3/2022
55412,15685,14379,6705,8/3/2022
56266,835,804,290,8/3/2022
55398,8340,7961,2874,8/3/2022
55934,2311,2221,993,8/3/2022
55723,1596,1539,603,8/3/2022
56303,16504,15563,6865,8/3/2022
55323,45,45,24,8/3/2022
56561,101,93,38,8/3/2022
55392,6,6,<= 5,8/3/2022
55397,1639,1587,597,8/3/2022
56630,1301,1235,469,8/3/2022
56136,767,746,264,8/3/2022
55116,21490,20294,12792,8/3/2022
55124,43792,41522,20490,8/3/2022
56763,2592,2449,638,8/3/2022
55025,16530,15758,6732,8/3/2022
56560,27696,25458,10703,8/3/2022
55393,<= 5,<= 5,<= 5,8/3/2022
55314,790,752,236,8/3/2022
55419,24582,23012,15219,8/3/2022
56334,3652,3474,1499,8/3/2022
56319,686,667,244,8/3/2022
55434,22313,21137,8956,8/3/2022
55339,534,522,167,8/3/2022
56472,4705,4485,1761,8/3/2022
55063,5002,4786,1865,8/3/2022
56043,300,288,118,8/3/2022
56762,1367,1320,440,8/3/2022
55742,151,141,54,8/3/2022
55380,<= 5,<= 5,<= 5,8/3/2022
56573,4398,4195,1551,8/3/2022
56741,16,16,<= 5,8/3/2022
55083,19,18,6,8/3/2022
56670,1713,1577,978,8/3/2022
55177,<= 5,<= 5,<= 5,8/3/2022
56157,417,392,114,8/3/2022
56089,96,92,36,8/3/2022
55751,813,783,269,8/3/2022
56546,172,165,55,8/3/2022
55919,648,629,277,8/3/2022
55768,1705,1632,630,8/3/2022
56748,332,322,78,8/3/2022
56045,436,417,170,8/3/2022
55065,661,629,232,8/3/2022
55188,<= 5,<= 5,<= 5,8/3/2022
55056,7790,7465,2894,8/3/2022
56284,1006,965,343,8/3/2022
56589,1111,1055,306,8/3/2022
55808,4132,3879,1809,8/3/2022
56527,394,377,95,8/3/2022
56241,2281,2181,864,8/3/2022
55920,6708,6475,3287,8/3/2022
55406,29601,27549,17556,8/3/2022
56650,335,319,105,8/3/2022
56083,408,395,104,8/3/2022
56543,152,138,43,8/3/2022
55340,7578,7103,3600,8/3/2022
55593,<= 5,<= 5,<= 5,8/3/2022
56360,2021,1942,804,8/3/2022
55771,835,808,295,8/3/2022
56751,3356,3239,1088,8/3/2022
55717,223,210,88,8/3/2022
56737,425,409,106,8/3/2022
55069,2846,2716,1026,8/3/2022
55764,240,235,79,8/3/2022
56744,286,270,71,8/3/2022
56680,93,90,41,8/3/2022
55073,2350,2250,977,8/3/2022
56162,151,150,57,8/3/2022
56096,1821,1749,698,8/3/2022
56535,706,666,232,8/3/2022
55579,<= 5,<= 5,<= 5,8/3/2022
55906,16286,15547,9097,8/3/2022
55777,<= 5,<= 5,<= 5,8/3/2022
56757,475,462,117,8/3/2022
55960,2868,2740,1401,8/3/2022
56232,1531,1470,576,8/3/2022
56732,555,531,213,8/3/2022
55712,280,264,107,8/3/2022
56333,38,32,11,8/3/2022
55313,13805,13113,5002,8/3/2022
56301,19685,18215,7524,8/3/2022
55321,2061,1983,726,8/3/2022
56711,66,62,19,8/3/2022
55731,4241,4078,2091,8/3/2022
55010,47,42,15,8/3/2022
56030,6,<= 5,<= 5,8/3/2022
56688,52,49,29,8/3/2022
56756,380,363,88,8/3/2022
56185,305,293,85,8/3/2022
56639,226,219,93,8/3/2022
56134,196,181,48,8/3/2022
55114,3904,3531,1979,8/3/2022
56131,1401,1360,425,8/3/2022
55111,125,107,52,8/3/2022
56347,3606,3401,1140,8/3/2022
55815,37,35,20,8/3/2022
56594,206,190,49,8/3/2022
55367,508,483,153,8/3/2022
55128,22005,20972,9422,8/3/2022
56382,648,615,205,8/3/2022
56551,1230,1180,403,8/3/2022
56398,<= 5,<= 5,<= 5,8/3/2022
56336,841,807,302,8/3/2022
55316,17897,17130,7772,8/3/2022
56572,3843,3600,1455,8/3/2022
55381,1059,1023,296,8/3/2022
56253,484,466,167,8/3/2022
55901,46929,44462,24637,8/3/2022
55113,34176,32332,18388,8/3/2022
56221,436,420,144,8/3/2022
55973,152,148,54,8/3/2022
55803,14168,13480,6969,8/3/2022
55371,8178,7734,2722,8/3/2022
55130,12003,10910,4231,8/3/2022
56110,981,937,277,8/3/2022
56549,3121,2963,1119,8/3/2022
56244,694,651,215,8/3/2022
55726,606,589,285,8/3/2022
55006,1724,1638,558,8/3/2022
56026,1094,1047,413,8/3/2022
56023,243,234,71,8/3/2022
55003,2503,2393,1029,8/3/2022
55337,34878,32666,15042,8/3/2022
56317,20,19,9,8/3/2022
55370,412,397,119,8/3/2022
55802,2376,2152,1183,8/3/2022
56350,247,236,70,8/3/2022
56583,107,100,41,8/3/2022
56216,288,273,85,8/3/2022
55944,5387,5193,2479,8/3/2022
55976,5512,5293,2379,8/3/2022
56529,3028,2834,1019,8/3/2022
56224,127,125,33,8/3/2022
56373,1394,1323,442,8/3/2022
55580,<= 5,<= 5,<= 5,8/3/2022
55353,1544,1473,517,8/3/2022
55910,886,846,340,8/3/2022
56673,312,298,85,8/3/2022
55080,1362,1283,449,8/3/2022
56093,7211,6865,2810,8/3/2022
55363,2633,2483,836,8/3/2022
56343,507,487,167,8/3/2022
56590,225,207,69,8/3/2022
55811,21134,19988,10535,8/3/2022
55787,285,275,83,8/3/2022
56174,209,196,59,8/3/2022
56679,51,48,15,8/3/2022
55782,307,299,130,8/3/2022
56171,926,890,338,8/3/2022
56181,558,530,174,8/3/2022
55772,226,201,121,8/3/2022
55055,2742,2579,1089,8/3/2022
56075,50,49,22,8/3/2022
55758,77,75,31,8/3/2022
56649,5447,5257,2033,8/3/2022
55164,7,6,6,8/3/2022
56144,521,472,113,8/3/2022
55325,2260,2154,776,8/3/2022
55428,22379,20931,9403,8/3/2022
55356,4588,4312,2159,8/3/2022
55585,<= 5,<= 5,<= 5,8/3/2022
56376,135,132,38,8/3/2022
56167,358,342,77,8/3/2022
56646,144,138,53,8/3/2022
55484,9,8,<= 5,8/3/2022
55925,684,661,271,8/3/2022
55389,1303,1250,410,8/3/2022
56277,1808,1721,651,8/3/2022
55122,25721,24333,12618,8/3/2022
56211,290,280,110,8/3/2022
55943,1864,1800,753,8/3/2022
56531,1035,987,329,8/3/2022
56468,3044,2894,1112,8/3/2022
55448,19965,18996,8154,8/3/2022
55345,18807,17890,10088,8/3/2022
55146,6,6,<= 5,8/3/2022
55795,813,776,266,8/3/2022
56166,98,95,28,8/3/2022
55036,37,33,14,8/3/2022
56016,525,499,164,8/3/2022
56524,465,435,145,8/3/2022
56229,957,901,279,8/3/2022
55327,4047,3852,1647,8/3/2022
56307,2403,2319,867,8/3/2022
55766,21,20,6,8/3/2022
55413,11220,10432,6296,8/3/2022
56433,916,874,314,8/3/2022
55416,28566,26759,16662,8/3/2022
56436,<= 5,<= 5,<= 5,8/3/2022
55703,414,394,164,8/3/2022
56723,532,505,120,8/3/2022
55941,670,637,257,8/3/2022
55720,12238,11544,4812,8/3/2022
56631,<= 5,<= 5,<= 5,8/3/2022
56230,412,399,155,8/3/2022
55962,445,437,162,8/3/2022
55797,1037,983,391,8/3/2022
56164,3197,2982,823,8/3/2022
56669,216,199,61,8/3/2022
55144,12,12,<= 5,8/3/2022
55710,818,780,323,8/3/2022
56255,168,160,32,8/3/2022
56158,194,182,60,8/3/2022
56655,1056,999,369,8/3/2022
56037,923,882,330,8/3/2022
55017,345,322,93,8/3/2022
55012,1134,1103,500,8/3/2022
56032,139,128,29,8/3/2022
55595,<= 5,<= 5,<= 5,8/3/2022
55346,14548,13842,7530,8/3/2022
55440,232,184,87,8/3/2022
55472,8,6,<= 5,8/3/2022
56452,1414,1343,599,8/3/2022
56281,288,280,69,8/3/2022
56448,318,305,132,8/3/2022
55468,<= 5,<= 5,<= 5,8/3/2022
56345,8026,7644,2983,8/3/2022
55365,9,7,<= 5,8/3/2022
56235,320,310,120,8/3/2022
56538,47,46,12,8/3/2022
55967,572,552,223,8/3/2022
55573,<= 5,<= 5,<= 5,8/3/2022
56553,131,126,34,8/3/2022
56036,1051,1014,386,8/3/2022
55016,29742,28346,12962,8/3/2022
56662,394,386,154,8/3/2022
56142,543,524,169,8/3/2022
55903,435,404,176,8/3/2022
56482,3330,3173,1110,8/3/2022
56251,484,466,183,8/3/2022
55104,32966,30567,17395,8/3/2022
56629,34,32,10,8/3/2022
55609,319,300,171,8/3/2022
56515,1884,1788,714,8/3/2022
56218,289,275,110,8/3/2022
55005,2580,2442,827,8/3/2022
55708,642,619,284,8/3/2022
56025,273,259,86,8/3/2022
56728,916,890,397,8/3/2022
56685,91,84,34,8/3/2022
55076,16582,15772,7340,8/3/2022
56056,46,45,15,8/3/2022
55945,818,789,278,8/3/2022
55306,12480,11644,5254,8/3/2022
Unknown/missing,8034,6662,1562,8/3/2022
56326,728,699,272,8/3/2022
55421,22959,21195,9802,8/3/2022
56401,16422,15606,5921,8/3/2022
56222,1011,975,316,8/3/2022
55970,578,551,214,8/3/2022
56226,117,113,57,8/3/2022
55974,1339,1288,540,8/3/2022
56215,2645,2561,1020,8/3/2022
56518,148,141,37,8/3/2022
55947,5844,5589,2740,8/3/2022
55736,834,796,318,8/3/2022
56716,5076,4800,1521,8/3/2022
55423,29925,28089,14691,8/3/2022
55982,245,239,100,8/3/2022
56091,190,185,72,8/3/2022
55753,550,531,162,8/3/2022
56511,1162,1107,388,8/3/2022
56750,1537,1463,372,8/3/2022
56183,726,714,231,8/3/2022
55368,1350,1301,443,8/3/2022
56296,1234,1185,516,8/3/2022
56098,989,940,319,8/3/2022
56146,33,26,10,8/3/2022
55166,<= 5,<= 5,<= 5,8/3/2022
56678,534,505,196,8/3/2022
55155,6,<= 5,<= 5,8/3/2022
55786,137,132,49,8/3/2022
56175,1738,1668,526,8/3/2022
55602,157,154,75,8/3/2022
56384,144,130,53,8/3/2022
56557,1594,1508,457,8/3/2022
56149,571,541,141,8/3/2022
56097,2020,1964,734,8/3/2022
56644,327,307,97,8/3/2022
55169,<= 5,<= 5,<= 5,8/3/2022
56510,1528,1472,496,8/3/2022
56588,318,309,106,8/3/2022
56285,494,478,154,8/3/2022
56456,<= 5,<= 5,<= 5,8/3/2022
56377,13783,13160,6005,8/3/2022
55357,2209,2100,836,8/3/2022
56533,176,170,44,8/3/2022
56443,841,809,296,8/3/2022
56587,1007,966,339,8/3/2022
55479,7,7,<= 5,8/3/2022
55806,6186,5701,2783,8/3/2022
56459,25,25,6,8/3/2022
56354,800,762,291,8/3/2022
55374,11134,10652,4526,8/3/2022
55020,2587,2456,1036,8/3/2022
56542,1410,1356,486,8/3/2022
56734,238,225,88,8/3/2022
56039,445,431,123,8/3/2022
55019,1658,1594,785,8/3/2022
56731,62,59,28,8/3/2022
55711,430,402,151,8/3/2022
56153,104,101,25,8/3/2022
55118,23676,22280,11832,8/3/2022
55615,268,256,107,8/3/2022
56138,337,321,82,8/3/2022
56619,464,438,199,8/3/2022
56114,158,150,43,8/3/2022
56209,1181,1141,410,8/3/2022
55969,750,722,311,8/3/2022
56536,283,265,98,8/3/2022
56137,600,566,165,8/3/2022
55117,33251,30992,14609,8/3/2022
55026,342,330,158,8/3/2022
56006,<= 5,<= 5,<= 5,8/3/2022
55417,22244,20913,13510,8/3/2022
56437,466,448,125,8/3/2022
56152,727,696,224,8/3/2022
56282,736,702,249,8/3/2022
55310,888,857,302,8/3/2022
56330,723,676,250,8/3/2022
56315,803,767,280,8/3/2022
55335,917,879,284,8/3/2022
55438,14057,13393,7819,8/3/2022
56041,646,624,216,8/3/2022
56581,124,112,30,8/3/2022
55372,25101,23885,10363,8/3/2022
56352,3121,2993,1024,8/3/2022
55007,1113,1048,330,8/3/2022
56027,458,431,160,8/3/2022
55750,1269,1223,527,8/3/2022
55763,336,321,145,8/3/2022
56240,505,492,179,8/3/2022
55912,19824,18710,8290,8/3/2022
56155,200,192,49,8/3/2022
55175,6,<= 5,<= 5,8/3/2022
56658,<= 5,<= 5,<= 5,8/3/2022
55334,1656,1578,564,8/3/2022
55439,8534,8030,4725,8/3/2022
56314,476,458,153,8/3/2022
55977,127,123,50,8/3/2022
56225,429,416,160,8/3/2022
56528,1068,1006,365,8/3/2022
56176,576,546,185,8/3/2022
55088,1029,994,397,8/3/2022
55785,116,114,28,8/3/2022
56047,27,26,9,8/3/2022
55067,14,13,<= 5,8/3/2022
55954,864,836,282,8/3/2022
56113,140,134,35,8/3/2022
55133,6,<= 5,<= 5,8/3/2022
55991,836,812,334,8/3/2022
55430,17102,15821,6716,8/3/2022
55403,13386,12219,7384,8/3/2022
56374,5393,5124,2325,8/3/2022
55354,1519,1457,448,8/3/2022
55459,<= 5,<= 5,<= 5,8/3/2022
56479,2636,2524,868,8/3/2022
56001,32020,30170,13494,8/3/2022
55021,19542,18500,7573,8/3/2022
56312,1016,972,367,8/3/2022
55332,1075,1023,318,8/3/2022
56046,48,47,11,8/3/2022
55066,13359,12728,6553,8/3/2022
55120,4240,4014,2225,8/3/2022
56621,2014,1899,632,8/3/2022
55601,104,100,40,8/3/2022
56065,1522,1466,517,8/3/2022
55748,782,747,239,8/3/2022
55045,4783,4619,2030,8/3/2022
56115,727,702,257,8/3/2022
56385,456,424,154,8/3/2022
55909,977,938,419,8/3/2022
55576,<= 5,<= 5,<= 5,8/3/2022
56556,488,467,163,8/3/2022
56014,414,396,148,8/3/2022
56262,501,471,199,8/3/2022
56267,4252,4024,1759,8/3/2022
55399,<= 5,<= 5,<= 5,8/3/2022
55935,622,607,212,8/3/2022
55425,8113,7430,3427,8/3/2022
55328,6028,5746,2295,8/3/2022
56308,16165,15458,6620,8/3/2022
56363,85,83,33,8/3/2022
55343,20238,19064,10024,8/3/2022
56442,1930,1832,689,8/3/2022
56291,242,232,79,8/3/2022
56052,412,388,153,8/3/2022
55072,1699,1595,565,8/3/2022
56681,159,152,48,8/3/2022
55040,6533,6203,1977,8/3/2022
56060,254,240,70,8/3/2022
56461,1625,1548,519,8/3/2022
55441,14302,13518,7150,8/3/2022
56550,254,239,70,8/3/2022
55570,<= 5,<= 5,<= 5,8/3/2022
55467,<= 5,<= 5,<= 5,8/3/2022
56447,625,604,225,8/3/2022
56294,38,36,12,8/3/2022
55929,815,781,305,8/3/2022
55488,11,8,<= 5,8/3/2022
56576,523,490,184,8/3/2022
55385,654,621,181,8/3/2022
55401,10005,9181,5800,8/3/2022
55992,3380,3255,1414,8/3/2022
55433,23124,21902,9159,8/3/2022
56386,391,370,143,8/3/2022
