"Age group","People with at least one vaccine dose","People with completed vaccine series","People up to date with vaccine doses","reportedDate","webDate"
"0.5-4",41767,13235,13230,"9/26/2022",2022-09-28
"12-15",196168,184492,73773,"9/26/2022",2022-09-28
"16-17",100937,95532,45027,"9/26/2022",2022-09-28
"18-49",1707973,1597469,875154,"9/26/2022",2022-09-28
"5-11",226723,206741,54460,"9/26/2022",2022-09-28
"50-64",890649,862673,301092,"9/26/2022",2022-09-28
"65+",823206,799909,559677,"9/26/2022",2022-09-28
"Unknown/missing",228,NA,2,"9/26/2022",2022-09-28
