Week Start Date,Doses Administered Per Week,"Cumulative Total Doses Administered, by week",reportedDate,webDate
,1027,1027,9/26/2022,9/28/2022
12/13/2020,6221,7248,9/26/2022,9/28/2022
12/20/2020,38340,45588,9/26/2022,9/28/2022
12/27/2020,52340,97928,9/26/2022,9/28/2022
1/3/2021,78409,176337,9/26/2022,9/28/2022
1/10/2021,90820,267157,9/26/2022,9/28/2022
1/17/2021,127065,394222,9/26/2022,9/28/2022
1/24/2021,207202,601424,9/26/2022,9/28/2022
1/31/2021,182160,783584,9/26/2022,9/28/2022
2/7/2021,198800,982384,9/26/2022,9/28/2022
2/14/2021,200425,1182809,9/26/2022,9/28/2022
2/21/2021,267711,1450520,9/26/2022,9/28/2022
2/28/2021,293913,1744433,9/26/2022,9/28/2022
3/7/2021,293843,2038276,9/26/2022,9/28/2022
3/14/2021,303015,2341291,9/26/2022,9/28/2022
3/21/2021,346128,2687419,9/26/2022,9/28/2022
3/28/2021,377279,3064698,9/26/2022,9/28/2022
4/4/2021,417381,3482079,9/26/2022,9/28/2022
4/11/2021,373030,3855109,9/26/2022,9/28/2022
4/18/2021,356957,4212066,9/26/2022,9/28/2022
4/25/2021,310862,4522928,9/26/2022,9/28/2022
5/2/2021,246207,4769135,9/26/2022,9/28/2022
5/9/2021,247779,5016914,9/26/2022,9/28/2022
5/16/2021,248542,5265456,9/26/2022,9/28/2022
5/23/2021,133638,5399094,9/26/2022,9/28/2022
5/30/2021,99534,5498628,9/26/2022,9/28/2022
6/6/2021,121030,5619658,9/26/2022,9/28/2022
6/13/2021,79350,5699008,9/26/2022,9/28/2022
6/20/2021,54545,5753553,9/26/2022,9/28/2022
6/27/2021,43894,5797447,9/26/2022,9/28/2022
7/4/2021,37223,5834670,9/26/2022,9/28/2022
7/11/2021,36765,5871435,9/26/2022,9/28/2022
7/18/2021,42229,5913664,9/26/2022,9/28/2022
7/25/2021,47951,5961615,9/26/2022,9/28/2022
8/1/2021,58418,6020033,9/26/2022,9/28/2022
8/8/2021,59109,6079142,9/26/2022,9/28/2022
8/15/2021,64834,6143976,9/26/2022,9/28/2022
8/22/2021,69263,6213239,9/26/2022,9/28/2022
8/29/2021,67896,6281135,9/26/2022,9/28/2022
9/5/2021,51408,6332543,9/26/2022,9/28/2022
9/12/2021,51525,6384068,9/26/2022,9/28/2022
9/19/2021,54506,6438574,9/26/2022,9/28/2022
9/26/2021,115135,6553709,9/26/2022,9/28/2022
10/3/2021,113797,6667506,9/26/2022,9/28/2022
10/10/2021,96006,6763512,9/26/2022,9/28/2022
10/17/2021,99021,6862533,9/26/2022,9/28/2022
10/24/2021,177785,7040318,9/26/2022,9/28/2022
10/31/2021,186278,7226596,9/26/2022,9/28/2022
11/7/2021,223417,7450013,9/26/2022,9/28/2022
11/14/2021,249342,7699355,9/26/2022,9/28/2022
11/21/2021,178698,7878053,9/26/2022,9/28/2022
11/28/2021,254321,8132374,9/26/2022,9/28/2022
12/5/2021,222193,8354567,9/26/2022,9/28/2022
12/12/2021,198239,8552806,9/26/2022,9/28/2022
12/19/2021,134606,8687412,9/26/2022,9/28/2022
12/26/2021,116713,8804125,9/26/2022,9/28/2022
1/2/2022,133206,8937331,9/26/2022,9/28/2022
1/9/2022,123743,9061074,9/26/2022,9/28/2022
1/16/2022,98828,9159902,9/26/2022,9/28/2022
1/23/2022,81358,9241260,9/26/2022,9/28/2022
1/30/2022,65274,9306534,9/26/2022,9/28/2022
2/6/2022,50821,9357355,9/26/2022,9/28/2022
2/13/2022,41228,9398583,9/26/2022,9/28/2022
2/20/2022,34397,9432980,9/26/2022,9/28/2022
2/27/2022,26979,9459959,9/26/2022,9/28/2022
3/6/2022,20521,9480480,9/26/2022,9/28/2022
3/13/2022,18417,9498897,9/26/2022,9/28/2022
3/20/2022,17787,9516684,9/26/2022,9/28/2022
3/27/2022,41661,9558345,9/26/2022,9/28/2022
4/3/2022,66539,9624884,9/26/2022,9/28/2022
4/10/2022,73543,9698427,9/26/2022,9/28/2022
4/17/2022,69008,9767435,9/26/2022,9/28/2022
4/24/2022,60970,9828405,9/26/2022,9/28/2022
5/1/2022,55949,9884354,9/26/2022,9/28/2022
5/8/2022,54500,9938854,9/26/2022,9/28/2022
5/15/2022,54393,9993247,9/26/2022,9/28/2022
5/22/2022,58370,10051617,9/26/2022,9/28/2022
5/29/2022,36911,10088528,9/26/2022,9/28/2022
6/5/2022,39298,10127826,9/26/2022,9/28/2022
6/12/2022,32656,10160482,9/26/2022,9/28/2022
6/19/2022,34224,10194706,9/26/2022,9/28/2022
6/26/2022,32313,10227019,9/26/2022,9/28/2022
7/3/2022,24113,10251132,9/26/2022,9/28/2022
7/10/2022,39202,10290334,9/26/2022,9/28/2022
7/17/2022,41253,10331587,9/26/2022,9/28/2022
7/24/2022,36750,10368337,9/26/2022,9/28/2022
7/31/2022,28834,10397171,9/26/2022,9/28/2022
8/7/2022,28882,10426053,9/26/2022,9/28/2022
8/14/2022,25164,10451217,9/26/2022,9/28/2022
8/21/2022,24241,10475458,9/26/2022,9/28/2022
8/28/2022,18974,10494432,9/26/2022,9/28/2022
9/4/2022,39368,10533800,9/26/2022,9/28/2022
9/11/2022,82094,10615894,9/26/2022,9/28/2022
9/18/2022,103966,10719860,9/26/2022,9/28/2022
9/25/2022,13303,10733163,9/26/2022,9/28/2022
