ZIP,People with at least one vaccine dose,People with completed vaccine series,People with up-to-date vaccines,reportedDate
55976,5529,5313,2471,9/14/2022
56529,3054,2852,1078,9/14/2022
56224,127,125,37,9/14/2022
56209,1177,1139,431,9/14/2022
56350,247,235,69,9/14/2022
56583,108,102,45,9/14/2022
55370,411,398,124,9/14/2022
55802,2384,2152,1245,9/14/2022
55615,268,255,105,9/14/2022
56138,334,318,83,9/14/2022
55118,23768,22345,12431,9/14/2022
56153,104,101,28,9/14/2022
55003,2494,2386,1083,9/14/2022
56023,243,234,74,9/14/2022
55019,1656,1591,824,9/14/2022
56734,241,227,94,9/14/2022
56039,448,432,124,9/14/2022
55726,609,589,303,9/14/2022
55020,2604,2471,1066,9/14/2022
55479,7,7,<= 5,9/14/2022
56587,1007,967,345,9/14/2022
56354,806,769,309,9/14/2022
56459,26,25,7,9/14/2022
55806,6248,5735,2904,9/14/2022
55374,11203,10701,4739,9/14/2022
55803,14280,13555,7414,9/14/2022
55371,8211,7765,2759,9/14/2022
56533,176,170,49,9/14/2022
55113,34305,32411,19312,9/14/2022
56588,316,307,109,9/14/2022
56456,<= 5,<= 5,<= 5,9/14/2022
56285,496,481,158,9/14/2022
55950,100,94,40,9/14/2022
56088,981,947,313,9/14/2022
56156,3721,3461,1326,9/14/2022
56384,147,133,53,9/14/2022
56557,1591,1502,452,9/14/2022
56466,1599,1520,475,9/14/2022
55446,25410,23692,13701,9/14/2022
56175,1752,1680,547,9/14/2022
55155,6,<= 5,<= 5,9/14/2022
55786,137,133,54,9/14/2022
56678,540,510,198,9/14/2022
56159,1486,1436,562,9/14/2022
56654,74,72,22,9/14/2022
56087,1699,1647,617,9/14/2022
56296,1240,1188,537,9/14/2022
55368,1355,1303,465,9/14/2022
56183,734,720,242,9/14/2022
56750,1536,1464,374,9/14/2022
56186,171,159,28,9/14/2022
56755,51,49,8,9/14/2022
55078,9,8,<= 5,9/14/2022
55775,794,757,274,9/14/2022
56058,3773,3626,1571,9/14/2022
Unknown/missing,7935,6580,1549,9/14/2022
55041,5211,5016,2421,9/14/2022
56091,189,185,69,9/14/2022
56647,318,306,114,9/14/2022
56381,1403,1348,586,9/14/2022
56552,252,241,95,9/14/2022
55572,<= 5,<= 5,<= 5,9/14/2022
56215,2655,2572,1111,9/14/2022
55947,5885,5625,2883,9/14/2022
56518,147,142,42,9/14/2022
56239,315,306,88,9/14/2022
56534,628,613,238,9/14/2022
56442,1939,1846,748,9/14/2022
56291,243,232,76,9/14/2022
55337,35053,32776,15577,9/14/2022
56317,20,19,9,9/14/2022
55935,622,609,229,9/14/2022
56267,4266,4034,1811,9/14/2022
