ZIP,People with at least one vaccine dose,People with completed vaccine series,People with up-to-date vaccines,reportedDate
55960,2884,2756,1466,9/14/2022
56232,1528,1468,620,9/14/2022
56356,141,135,50,9/14/2022
55376,12052,11481,4958,9/14/2022
56585,608,578,217,9/14/2022
55804,12823,12227,7204,9/14/2022
56288,3017,2881,1338,9/14/2022
55589,<= 5,<= 5,<= 5,9/14/2022
56477,1029,983,314,9/14/2022
55047,1920,1829,984,9/14/2022
55075,14598,13746,6384,9/14/2022
56686,452,428,116,9/14/2022
56758,192,183,55,9/14/2022
56055,2589,2501,1133,9/14/2022
56359,2057,1906,708,9/14/2022
55379,35678,33580,14813,9/14/2022
56287,41,39,14,9/14/2022
55474,10,9,<= 5,9/14/2022
55396,1211,1165,387,9/14/2022
56565,44,40,15,9/14/2022
56659,82,80,43,9/14/2022
56431,5561,5330,2104,9/14/2022
55411,19306,17066,6877,9/14/2022
56132,322,308,88,9/14/2022
55112,35360,33217,18201,9/14/2022
56653,654,635,189,9/14/2022
56080,425,403,139,9/14/2022
56085,3258,3124,1143,9/14/2022
56523,242,224,81,9/14/2022
55956,1213,1176,473,9/14/2022
56335,99,97,36,9/14/2022
55418,26557,24760,15178,9/14/2022
55315,5014,4736,2267,9/14/2022
56438,1337,1263,410,9/14/2022
55402,771,665,348,9/14/2022
56282,735,702,257,9/14/2022
55336,4846,4621,1579,9/14/2022
56316,702,660,237,9/14/2022
55417,22361,21069,14200,9/14/2022
56437,462,446,132,9/14/2022
56006,<= 5,<= 5,<= 5,9/14/2022
55026,341,331,168,9/14/2022
55108,12291,11425,7892,9/14/2022
55605,423,402,205,9/14/2022
56128,1031,969,250,9/14/2022
56536,281,263,98,9/14/2022
55969,751,722,322,9/14/2022
55760,1817,1734,597,9/14/2022
56740,6,6,<= 5,9/14/2022
56114,160,152,45,9/14/2022
56619,465,436,202,9/14/2022
55107,10999,10145,5035,9/14/2022
56127,199,190,56,9/14/2022
56641,227,205,82,9/14/2022
56731,62,59,28,9/14/2022
55711,435,406,164,9/14/2022
55383,<= 5,<= 5,<= 5,9/14/2022
56570,608,576,184,9/14/2022
55550,<= 5,<= 5,<= 5,9/14/2022
56542,1407,1352,511,9/14/2022
55732,793,771,329,9/14/2022
56446,642,620,187,9/14/2022
56295,143,137,55,9/14/2022
56443,847,812,313,9/14/2022
55757,502,482,189,9/14/2022
55357,2222,2106,857,9/14/2022
56377,13831,13210,6289,9/14/2022
55816,183,176,70,9/14/2022
56344,33,31,15,9/14/2022
55364,11219,10573,4804,9/14/2022
56449,791,764,262,9/14/2022
56510,1532,1470,498,9/14/2022
56149,575,546,147,9/14/2022
56644,330,309,103,9/14/2022
55169,<= 5,<= 5,<= 5,9/14/2022
56097,2032,1972,771,9/14/2022
55733,3801,3623,1765,9/14/2022
56713,487,467,115,9/14/2022
55602,157,154,75,9/14/2022
56667,376,358,136,9/14/2022
56475,734,702,253,9/14/2022
55455,713,526,257,9/14/2022
55358,2761,2644,968,9/14/2022
56378,4096,3905,1584,9/14/2022
55904,21990,20647,10065,9/14/2022
56256,1587,1540,599,9/14/2022
56388,<= 5,<= 5,<= 5,9/14/2022
56501,10522,10002,3857,9/14/2022
55749,242,232,77,9/14/2022
55044,47685,45166,21611,9/14/2022
55394,<= 5,<= 5,<= 5,9/14/2022
56567,1576,1517,512,9/14/2022
56672,1037,978,385,9/14/2022
56668,165,158,76,9/14/2022
56165,190,186,46,9/14/2022
55145,7,<= 5,<= 5,9/14/2022
56759,176,169,45,9/14/2022
56687,<= 5,<= 5,<= 5,9/14/2022
55074,1212,1155,491,9/14/2022
56054,485,471,147,9/14/2022
55779,2712,2600,1184,9/14/2022
56651,272,258,89,9/14/2022
56082,9170,8757,4381,9/14/2022
56760,196,190,56,9/14/2022
55057,18084,17076,9870,9/14/2022
55591,<= 5,<= 5,<= 5,9/14/2022
56362,3061,2945,1150,9/14/2022
55342,1015,972,308,9/14/2022
55092,6482,6231,2570,9/14/2022
56661,445,424,146,9/14/2022
55429,20849,19208,8107,9/14/2022
55988,7,6,<= 5,9/14/2022
56304,9870,9209,3922,9/14/2022
55324,711,676,265,9/14/2022
55473,<= 5,<= 5,<= 5,9/14/2022
56453,318,304,100,9/14/2022
56280,259,252,78,9/14/2022
56270,742,719,302,9/14/2022
55922,321,312,115,9/14/2022
55483,<= 5,<= 5,<= 5,9/14/2022
55790,1402,1341,657,9/14/2022
55965,1607,1555,614,9/14/2022
56237,270,253,72,9/14/2022
55607,91,88,49,9/14/2022
56627,155,151,56,9/14/2022
55126,23006,21867,12791,9/14/2022
55946,1899,1802,768,9/14/2022
56214,348,338,126,9/14/2022
56519,165,157,49,9/14/2022
55344,13099,12053,6200,9/14/2022
56364,2358,2250,756,9/14/2022
56469,646,627,234,9/14/2022
55449,25366,24055,11497,9/14/2022
55105,23432,21836,15552,9/14/2022
56125,42,41,23,9/14/2022
56628,979,954,432,9/14/2022
55923,3225,3132,1368,9/14/2022
56271,648,621,274,9/14/2022
55713,559,522,206,9/14/2022
56733,272,267,139,9/14/2022
55033,20190,19265,8871,9/14/2022
56013,2633,2542,1020,9/14/2022
56016,528,502,173,9/14/2022
55036,37,33,14,9/14/2022
55302,4198,4006,1736,9/14/2022
56297,402,384,107,9/14/2022
56444,1881,1792,690,9/14/2022
56349,430,413,173,9/14/2022
55369,30098,28512,14582,9/14/2022
56468,3061,2908,1199,9/14/2022
55448,20082,19065,8546,9/14/2022
55345,18939,18060,10790,9/14/2022
55971,2070,1996,935,9/14/2022
56223,720,690,240,9/14/2022
56211,290,278,115,9/14/2022
55943,1871,1810,792,9/14/2022
55366,156,143,41,9/14/2022
55814,<= 5,<= 5,<= 5,9/14/2022
55925,687,661,290,9/14/2022
55389,1305,1251,425,9/14/2022
55484,9,8,<= 5,9/14/2022
56277,1810,1722,692,9/14/2022
56646,144,138,54,9/14/2022
56178,976,945,351,9/14/2022
55356,4606,4343,2268,9/14/2022
56376,134,130,36,9/14/2022
55585,<= 5,<= 5,<= 5,9/14/2022
55161,<= 5,<= 5,<= 5,9/14/2022
56141,162,155,41,9/14/2022
55164,7,6,<= 5,9/14/2022
56649,5458,5264,2061,9/14/2022
56144,529,476,111,9/14/2022
55940,1659,1597,710,9/14/2022
56212,224,218,81,9/14/2022
56728,915,890,407,9/14/2022
56025,275,260,82,9/14/2022
55005,2591,2451,842,9/14/2022
55708,640,617,290,9/14/2022
55979,461,441,163,9/14/2022
56218,287,273,115,9/14/2022
56515,1889,1793,756,9/14/2022
55609,320,298,171,9/14/2022
56629,35,33,13,9/14/2022
55104,33147,30703,17902,9/14/2022
55738,295,276,97,9/14/2022
56142,553,528,168,9/14/2022
55783,1501,1420,598,9/14/2022
56170,269,261,75,9/14/2022
55150,171,165,83,9/14/2022
56036,1053,1015,396,9/14/2022
55016,29995,28506,13461,9/14/2022
55051,5262,5028,2007,9/14/2022
56071,8281,7881,3147,9/14/2022
56448,319,306,134,9/14/2022
56345,8043,7657,3146,9/14/2022
55365,9,7,<= 5,9/14/2022
55468,<= 5,<= 5,<= 5,9/14/2022
56593,10,10,<= 5,9/14/2022
56340,860,810,282,9/14/2022
55360,1863,1798,622,9/14/2022
55812,6520,6069,3689,9/14/2022
55440,237,194,91,9/14/2022
55102,16145,14945,8816,9/14/2022
56122,285,260,45,9/14/2022
55485,<= 5,<= 5,<= 5,9/14/2022
55924,731,698,239,9/14/2022
55388,3568,3433,1253,9/14/2022
56276,133,130,44,9/14/2022
56037,930,891,358,9/14/2022
55017,342,319,91,9/14/2022
56147,86,83,23,9/14/2022
56255,169,161,32,9/14/2022
56574,160,154,46,9/14/2022
55554,<= 5,<= 5,<= 5,9/14/2022
56279,598,571,217,9/14/2022
55387,10548,10108,4684,9/14/2022
55144,12,12,<= 5,9/14/2022
55797,1036,983,408,9/14/2022
56164,3222,2997,848,9/14/2022
56669,214,197,61,9/14/2022
56230,413,398,150,9/14/2022
55962,445,438,170,9/14/2022
56123,297,282,79,9/14/2022
55103,9500,8625,3892,9/14/2022
55720,12313,11582,5028,9/14/2022
55077,10775,10199,5026,9/14/2022
56684,185,180,60,9/14/2022
56057,2493,2358,838,9/14/2022
55011,6067,5790,2168,9/14/2022
56031,7000,6702,2686,9/14/2022
56324,596,556,188,9/14/2022
55409,10740,10016,6296,9/14/2022
55304,33088,31610,13600,9/14/2022
55413,11280,10478,6475,9/14/2022
56433,912,870,334,9/14/2022
56502,313,288,98,9/14/2022
56307,2422,2326,878,9/14/2022
55327,4096,3898,1749,9/14/2022
55964,2995,2829,1104,9/14/2022
56236,197,191,73,9/14/2022
56521,399,385,105,9/14/2022
56634,654,616,199,9/14/2022
55614,1548,1483,638,9/14/2022
55119,32044,29936,13470,9/14/2022
