,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,AdditionalDailyDose,AdditionalDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccinations,FirstSecondSingleVaccinationsCumulative
0,2020-12-14,19,1491,,535,,,,,19,1491,0,535,19,1963
1,2020-12-15,62,1553,3.0,538,,,,,62,1553,3,538,65,2028
2,2020-12-16,597,2150,5.0,543,,,,,597,2150,5,543,602,2630
3,2020-12-17,1171,3321,8.0,551,,,,,1171,3321,8,551,1179,3809
4,2020-12-18,3032,6353,12.0,563,,,,,3032,6353,12,563,3044,6853
5,2020-12-19,930,7283,7.0,570,,,,,930,7283,7,570,937,7790
6,2020-12-20,370,7653,6.0,576,,,,,370,7653,6,576,376,8166
7,2020-12-21,3901,11554,27.0,603,,,,,3901,11554,27,603,3928,12094
8,2020-12-22,6329,17883,30.0,633,,,,,6329,17883,30,633,6359,18453
9,2020-12-23,5796,23679,41.0,674,,,,,5796,23679,41,674,5837,24290
10,2020-12-24,2730,26409,15.0,689,,,,,2730,26409,15,689,2745,27035
11,2020-12-25,1035,27444,4.0,693,,,,,1035,27444,4,693,1039,28074
12,2020-12-26,1887,29331,10.0,703,,,,,1887,29331,10,703,1897,29971
13,2020-12-27,1804,31135,12.0,715,,,,,1804,31135,12,715,1816,31787
14,2020-12-28,8997,40132,52.0,767,,,,,8997,40132,52,767,9049,40836
15,2020-12-29,10980,51112,54.0,821,,,,,10980,51112,54,821,11034,51870
16,2020-12-30,12511,63623,98.0,919,,,,,12511,63623,98,919,12609,64479
17,2020-12-31,7563,71186,48.0,967,,,,,7563,71186,48,967,7611,72090
18,2021-01-01,3419,74605,145.0,1112,,,,,3419,74605,145,1112,3564,75654
19,2021-01-02,3064,77669,34.0,1146,,,,,3064,77669,34,1146,3098,78752
20,2021-01-03,3418,81087,82.0,1228,,,,,3418,81087,82,1228,3500,82252
21,2021-01-04,13379,94466,343.0,1571,,,,,13379,94466,343,1571,13722,95974
22,2021-01-05,12497,106963,550.0,2121,,,,,12497,106963,550,2121,13047,109021
23,2021-01-06,15286,122249,871.0,2992,,,,,15286,122249,871,2992,16157,125178
24,2021-01-07,15054,137303,1790.0,4782,,,,,15054,137303,1790,4782,16844,142022
25,2021-01-08,24032,161335,2796.0,7578,,,,,24032,161335,2796,7578,26828,168850
26,2021-01-09,5188,166523,960.0,8538,,,,,5188,166523,960,8538,6148,174998
27,2021-01-10,2988,169511,389.0,8927,,,,,2988,169511,389,8927,3377,178375
28,2021-01-11,13749,183260,3488.0,12415,,,,,13749,183260,3488,12415,17237,195612
29,2021-01-12,17410,200670,5600.0,18015,,,,,17410,200670,5600,18015,23010,218622
30,2021-01-13,18638,219308,3942.0,21957,,,,,18638,219308,3942,21957,22580,241202
31,2021-01-14,17882,237190,1969.0,23926,,,,,17882,237190,1969,23926,19851,261053
32,2021-01-15,19515,256705,2041.0,25967,,,,,19515,256705,2041,25967,21556,282609
33,2021-01-16,5849,262554,1625.0,27592,,,,,5849,262554,1625,27592,7474,290083
34,2021-01-17,2129,264683,1480.0,29072,,,,,2129,264683,1480,29072,3609,293692
35,2021-01-18,7090,271773,3269.0,32341,,,,,7090,271773,3269,32341,10359,304051
36,2021-01-19,16965,288738,5421.0,37762,,,,,16965,288738,5421,37762,22386,326437
37,2021-01-20,21028,309766,5339.0,43101,,,,,21028,309766,5339,43101,26367,352804
38,2021-01-21,23837,333603,3875.0,46976,,,,,23837,333603,3875,46976,27712,380516
39,2021-01-22,28680,362283,3774.0,50750,,,,,28680,362283,3774,50750,32454,412970
40,2021-01-23,10133,372416,1949.0,52699,,,,,10133,372416,1949,52699,12082,425052
41,2021-01-24,3362,375778,1727.0,54426,,,,,3362,375778,1727,54426,5089,430141
42,2021-01-25,16317,392095,8627.0,63053,,,,,16317,392095,8627,63053,24944,455085
43,2021-01-26,17574,409669,8985.0,72038,,,,,17574,409669,8985,72038,26559,481644
44,2021-01-27,24448,434117,12586.0,84624,,,,,24448,434117,12586,84624,37034,518678
45,2021-01-28,22668,456785,9347.0,93971,,,,,22668,456785,9347,93971,32015,550693
46,2021-01-29,24800,481585,7944.0,101915,,,,,24800,481585,7944,101915,32744,583437
47,2021-01-30,17798,499383,2572.0,104487,,,,,17798,499383,2572,104487,20370,603807
48,2021-01-31,3768,503151,1376.0,105863,,,,,3768,503151,1376,105863,5144,608951
49,2021-02-01,8212,511363,5443.0,111306,,,,,8212,511363,5443,111306,13655,622606
50,2021-02-02,12531,523894,13848.0,125154,,,,,12531,523894,13848,125154,26379,648985
51,2021-02-03,18282,542176,18157.0,143311,,,,,18282,542176,18157,143311,36439,685424
52,2021-02-04,22154,564330,15807.0,159118,,,,,22154,564330,15807,159118,37961,723385
53,2021-02-05,20426,584756,17456.0,176574,,,,,20426,584756,17456,176574,37882,761267
54,2021-02-06,11388,596144,14543.0,191117,,,,,11388,596144,14543,191117,25931,787198
55,2021-02-07,5994,602138,1953.0,193070,,,,,5994,602138,1953,193070,7947,795145
56,2021-02-08,13023,615161,12990.0,206060,,,,,13023,615161,12990,206060,26013,821158
57,2021-02-09,16674,631835,13897.0,219957,,,,,16674,631835,13897,219957,30571,851729
58,2021-02-10,19338,651173,21330.0,241287,,,,,19338,651173,21330,241287,40668,892397
59,2021-02-11,22951,674124,17396.0,258683,,,,,22951,674124,17396,258683,40347,932744
60,2021-02-12,20449,694573,19687.0,278370,,,,,20449,694573,19687,278370,40136,972880
61,2021-02-13,11476,706049,6434.0,284804,,,,,11476,706049,6434,284804,17910,990790
62,2021-02-14,7122,713171,2142.0,286946,,,,,7122,713171,2142,286946,9264,1000054
63,2021-02-15,11773,724944,13356.0,300302,,,,,11773,724944,13356,300302,25129,1025183
64,2021-02-16,16658,741602,21045.0,321347,,,,,16658,741602,21045,321347,37703,1062886
65,2021-02-17,20692,762294,26401.0,347748,,,,,20692,762294,26401,347748,47093,1109979
66,2021-02-18,3207,765501,4633.0,352381,,,,,3207,765501,4633,352381,7840,1117819
67,2021-02-19,10269,775770,19947.0,372328,,,,,10269,775770,19947,372328,30216,1148035
68,2021-02-20,10323,786093,20326.0,392654,,,,,10323,786093,20326,392654,30649,1178684
69,2021-02-21,6195,792288,7673.0,400327,,,,,6195,792288,7673,400327,13868,1192552
70,2021-02-22,8051,800339,15504.0,415831,,,,,8051,800339,15504,415831,23555,1216107
71,2021-02-23,15544,815883,15993.0,431824,,,,,15544,815883,15993,431824,31537,1247644
72,2021-02-24,18008,833891,24854.0,456678,,,,,18008,833891,24854,456678,42862,1290506
73,2021-02-25,20407,854298,26604.0,483282,,,,,20407,854298,26604,483282,47011,1337517
74,2021-02-26,26701,880999,26289.0,509571,,,,,26701,880999,26289,509571,52990,1390507
75,2021-02-27,16034,897033,11170.0,520741,,,,,16034,897033,11170,520741,27204,1417711
76,2021-02-28,15528,912561,4898.0,525639,,,,,15528,912561,4898,525639,20426,1438137
77,2021-03-01,27308,939869,12702.0,538341,,,,,27308,939869,12702,538341,40010,1478147
78,2021-03-02,24011,963880,13312.0,551653,,,38.0,38.0,24049,963918,13350,551691,37361,1515508
79,2021-03-03,30261,994141,18435.0,570088,,,194.0,232.0,30455,994373,18629,570320,48890,1564398
80,2021-03-04,31024,1025165,18260.0,588348,,,4067.0,4299.0,35091,1029464,22327,592647,53351,1617749
81,2021-03-05,30107,1055272,19795.0,608143,,,4913.0,9212.0,35020,1064484,24708,617355,54815,1672564
82,2021-03-06,19009,1074281,9540.0,617683,,,6010.0,15222.0,25019,1089503,15550,632905,34559,1707123
83,2021-03-07,12157,1086438,4932.0,622615,,,6605.0,21827.0,18762,1108265,11537,644442,23694,1730817
84,2021-03-08,25935,1112373,8870.0,631485,,,8276.0,30103.0,34211,1142476,17146,661588,43081,1773898
85,2021-03-09,26158,1138531,15509.0,646994,,,8346.0,38449.0,34504,1176980,23855,685443,50013,1823911
86,2021-03-10,29899,1168430,16063.0,663057,,,7937.0,46386.0,37836,1214816,24000,709443,53899,1877810
87,2021-03-11,36028,1204458,16436.0,679493,,,3982.0,50368.0,40010,1254826,20418,729861,56446,1934256
88,2021-03-12,36928,1241386,18167.0,697660,,,2929.0,53297.0,39857,1294683,21096,750957,58024,1992280
89,2021-03-13,22675,1264061,10347.0,708007,,,1631.0,54928.0,24306,1318989,11978,762935,34653,2026933
90,2021-03-14,17845,1281906,6740.0,714747,,,1010.0,55938.0,18855,1337844,7750,770685,25595,2052528
91,2021-03-15,29904,1311810,11379.0,726126,,,599.0,56537.0,30503,1368347,11978,782663,41882,2094410
92,2021-03-16,33493,1345303,13597.0,739723,,,772.0,57309.0,34265,1402612,14369,797032,47862,2142272
93,2021-03-17,37649,1382952,17092.0,756815,,,1183.0,58492.0,38832,1441444,18275,815307,55924,2198196
94,2021-03-18,41483,1424435,12714.0,769529,,,1353.0,59845.0,42836,1484280,14067,829374,55550,2253746
95,2021-03-19,38393,1462828,15448.0,784977,,,1046.0,60891.0,39439,1523719,16494,845868,54887,2308633
96,2021-03-20,24745,1487573,10236.0,795213,,,705.0,61596.0,25450,1549169,10941,856809,35686,2344319
97,2021-03-21,19208,1506781,7914.0,803127,,,342.0,61938.0,19550,1568719,8256,865065,27464,2371783
