,VACCINATION_DATE,5-11 percent,12-17 percent,18-49 percent,50-64 percent,65 and Older percent,5-11 total,12-17 total,18-49 total,50-64 total,65 and Older total
0,2020-12-14 15:00:00,,,0.001,0.0,0.0,,,13,4,2
1,2020-12-15 15:00:00,,,0.002,0.002,0.001,,,46,30,5
2,2020-12-16 15:00:00,,,0.019,0.013,0.003,,,492,156,30
3,2020-12-17 15:00:00,,,0.051,0.039,0.01,,,1279,477,93
4,2020-12-18 15:00:00,,,0.126,0.115,0.03,,,3178,1415,288
5,2020-12-19 15:00:00,,,0.149,0.139,0.036,,,3759,1702,350
6,2020-12-20 15:00:00,,,0.159,0.147,0.039,,,4004,1802,375
7,2020-12-21 15:00:00,,,0.26,0.237,0.063,,,6567,2914,601
8,2020-12-22 15:00:00,,0.002,0.387,0.386,0.198,,8.0,9770,4737,1896
9,2020-12-23 15:00:00,,0.002,0.517,0.534,0.271,,9.0,13035,6562,2601
10,2020-12-24 15:00:00,,,0.58,0.606,0.296,,,14643,7449,2836
11,2020-12-25 15:00:00,,0.004,0.592,0.634,0.337,,18.0,14938,7787,3229
12,2020-12-26 15:00:00,,,0.621,0.685,0.392,,,15672,8412,3757
13,2020-12-27 15:00:00,,0.004,0.651,0.728,0.444,,20.0,16437,8942,4264
14,2020-12-28 15:00:00,,0.005,0.85,0.955,0.568,,24.0,21459,11725,5452
15,2020-12-29 15:00:00,,0.006,1.077,1.244,0.747,,25.0,27167,15282,7166
16,2020-12-30 15:00:00,,0.006,1.36,1.57,0.887,,27.0,34325,19287,8512
17,2020-12-31 15:00:00,,0.006,1.532,1.762,0.978,,29.0,38665,21641,9379
18,2021-01-01 15:00:00,,0.009,1.586,1.833,1.101,,39.0,40020,22513,10561
19,2021-01-02 15:00:00,,0.009,1.644,1.896,1.187,,41.0,41480,23284,11392
20,2021-01-03 15:00:00,,0.009,1.708,1.978,1.27,,42.0,43092,24293,12188
21,2021-01-04 15:00:00,,0.011,1.977,2.32,1.518,,49.0,49881,28499,14565
22,2021-01-05 15:00:00,,0.013,2.223,2.635,1.771,,59.0,56083,32358,16991
23,2021-01-06 15:00:00,,0.017,2.524,3.035,2.058,,76.0,63679,37274,19748
24,2021-01-07 15:00:00,,0.02,2.841,3.421,2.297,,90.0,71692,42016,22033
25,2021-01-08 15:00:00,,0.027,3.171,3.823,2.582,,123.0,80017,46949,24774
26,2021-01-09 15:00:00,,0.029,3.27,3.943,2.707,,129.0,82523,48424,25975
27,2021-01-10 15:00:00,,0.03,3.323,4.014,2.789,,134.0,83851,49296,26758
28,2021-01-11 15:00:00,,0.033,3.583,4.346,3.111,,151.0,90412,53374,29851
29,2021-01-12 15:00:00,,0.039,3.907,4.743,3.564,,177.0,98578,58252,34191
30,2021-01-13 15:00:00,,0.043,4.282,5.198,3.936,,194.0,108040,63844,37758
31,2021-01-14 15:00:00,,0.046,4.631,5.628,4.329,,206.0,116858,69125,41529
32,2021-01-15 15:00:00,,0.049,5.007,6.066,4.812,,223.0,126345,74498,46167
33,2021-01-16 15:00:00,,0.05,5.108,6.164,5.03,,224.0,128888,75710,48260
34,2021-01-17 15:00:00,,0.05,5.142,6.21,5.103,,228.0,129757,76266,48960
35,2021-01-18 15:00:00,,0.052,5.226,6.321,5.477,,234.0,131881,77637,52549
36,2021-01-19 15:00:00,,0.054,5.418,6.552,6.444,,244.0,136720,80476,61826
37,2021-01-20 15:00:00,,0.056,5.643,6.836,7.682,,254.0,142383,83956,73701
38,2021-01-21 15:00:00,,0.059,5.93,7.185,8.961,,268.0,149644,88250,85971
39,2021-01-22 15:00:00,,0.063,6.307,7.663,10.346,,283.0,159157,94113,99260
40,2021-01-23 15:00:00,,0.065,6.435,7.809,10.879,,295.0,162368,95906,104377
41,2021-01-24 15:00:00,,0.068,6.465,7.855,11.09,,309.0,163134,96471,106394
42,2021-01-25 15:00:00,,0.071,6.634,8.061,12.08,,319.0,167411,99004,115891
43,2021-01-26 15:00:00,,0.073,6.826,8.285,13.121,,332.0,172235,101753,125881
44,2021-01-27 15:00:00,,0.078,7.062,8.576,14.672,,352.0,178204,105329,140764
45,2021-01-28 15:00:00,,0.081,7.292,8.871,16.051,,368.0,183998,108954,153997
46,2021-01-29 15:00:00,,0.094,7.529,9.191,17.597,,426.0,189980,112885,168828
47,2021-01-30 15:00:00,,0.098,7.703,9.406,18.717,,445.0,194377,115522,179573
48,2021-01-31 15:00:00,,0.101,7.756,9.469,18.888,,456.0,195716,116303,181210
49,2021-02-01 15:00:00,,0.111,7.833,9.586,19.387,,502.0,197658,117741,185996
