,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,AdditionalDailyDose,AdditionalDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccinations,FirstSecondSingleVaccinationsCumulative
0,2020-12-14,15,897,,368,,,,,15,897,0,368,15,1175
1,2020-12-15,42,939,2.0,370,,,,,42,939,2,370,44,1219
2,2020-12-16,570,1509,2.0,372,,,,,570,1509,2,372,572,1791
3,2020-12-17,1129,2638,2.0,374,,,,,1129,2638,2,374,1131,2922
4,2020-12-18,3000,5638,10.0,384,,,,,3000,5638,10,384,3010,5932
5,2020-12-19,919,6557,4.0,388,,,,,919,6557,4,388,923,6855
6,2020-12-20,324,6881,4.0,392,,,,,324,6881,4,392,328,7183
7,2020-12-21,3841,10722,17.0,409,,,,,3841,10722,17,409,3858,11041
8,2020-12-22,6316,17038,13.0,422,,,,,6316,17038,13,422,6329,17370
9,2020-12-23,5730,22768,26.0,448,,,,,5730,22768,26,448,5756,23126
10,2020-12-24,2708,25476,8.0,456,,,,,2708,25476,8,456,2716,25842
11,2020-12-25,1033,26509,3.0,459,,,,,1033,26509,3,459,1036,26878
12,2020-12-26,1863,28372,7.0,466,,,,,1863,28372,7,466,1870,28748
13,2020-12-27,1785,30157,9.0,475,,,,,1785,30157,9,475,1794,30542
14,2020-12-28,8925,39082,32.0,507,,,,,8925,39082,32,507,8957,39499
15,2020-12-29,10900,49982,33.0,540,,,,,10900,49982,33,540,10933,50432
16,2020-12-30,12426,62408,63.0,603,,,,,12426,62408,63,603,12489,62921
17,2020-12-31,7493,69901,31.0,634,,,,,7493,69901,31,634,7524,70445
18,2021-01-01,2400,72301,101.0,735,,,,,2400,72301,101,735,2501,72946
19,2021-01-02,2952,75253,32.0,767,,,,,2952,75253,32,767,2984,75930
20,2021-01-03,3356,78609,78.0,845,,,,,3356,78609,78,845,3434,79364
21,2021-01-04,13232,91841,306.0,1151,,,,,13232,91841,306,1151,13538,92902
22,2021-01-05,12358,104199,500.0,1651,,,,,12358,104199,500,1651,12858,105760
23,2021-01-06,15132,119331,822.0,2473,,,,,15132,119331,822,2473,15954,121714
24,2021-01-07,14925,134256,1715.0,4188,,,,,14925,134256,1715,4188,16640,138354
25,2021-01-08,23908,158164,2722.0,6910,,,,,23908,158164,2722,6910,26630,164984
26,2021-01-09,5111,163275,937.0,7847,,,,,5111,163275,937,7847,6048,171032
27,2021-01-10,2898,166173,365.0,8212,,,,,2898,166173,365,8212,3263,174295
28,2021-01-11,13647,179820,3397.0,11609,,,,,13647,179820,3397,11609,17044,191339
29,2021-01-12,17246,197066,5562.0,17171,,,,,17246,197066,5562,17171,22808,214147
30,2021-01-13,18465,215531,3846.0,21017,,,,,18465,215531,3846,21017,22311,236458
31,2021-01-14,17781,233312,1911.0,22928,,,,,17781,233312,1911,22928,19692,256150
32,2021-01-15,19423,252735,1940.0,24868,,,,,19423,252735,1940,24868,21363,277513
33,2021-01-16,5751,258486,1576.0,26444,,,,,5751,258486,1576,26444,7327,284840
34,2021-01-17,2089,260575,1461.0,27905,,,,,2089,260575,1461,27905,3550,288390
35,2021-01-18,7007,267582,3220.0,31125,,,,,7007,267582,3220,31125,10227,298617
36,2021-01-19,17122,284704,5312.0,36437,,,,,17122,284704,5312,36437,22434,321051
37,2021-01-20,21194,305898,5227.0,41664,,,,,21194,305898,5227,41664,26421,347472
38,2021-01-21,23764,329662,3661.0,45325,,,,,23764,329662,3661,45325,27425,374897
39,2021-01-22,28799,358461,3573.0,48898,,,,,28799,358461,3573,48898,32372,407269
40,2021-01-23,10017,368478,1890.0,50788,,,,,10017,368478,1890,50788,11907,419176
41,2021-01-24,3317,371795,1703.0,52491,,,,,3317,371795,1703,52491,5020,424196
42,2021-01-25,16589,388384,8485.0,60976,,,,,16589,388384,8485,60976,25074,449270
43,2021-01-26,17863,406247,8858.0,69834,,,,,17863,406247,8858,69834,26721,475991
44,2021-01-27,25016,431263,12361.0,82195,,,,,25016,431263,12361,82195,37377,513368
45,2021-01-28,23259,454522,9191.0,91386,,,,,23259,454522,9191,91386,32450,545818
46,2021-01-29,25485,480007,7781.0,99167,,,,,25485,480007,7781,99167,33266,579084
47,2021-01-30,18410,498417,2473.0,101640,,,,,18410,498417,2473,101640,20883,599967
48,2021-01-31,4112,502529,1294.0,102934,,,,,4112,502529,1294,102934,5406,605373
49,2021-02-01,7574,510103,4946.0,107880,,,,,7574,510103,4946,107880,12520,617893
50,2021-02-02,12767,522870,13691.0,121571,,,,,12767,522870,13691,121571,26458,644351
51,2021-02-03,18651,541521,18020.0,139591,,,,,18651,541521,18020,139591,36671,681022
52,2021-02-04,22429,563950,15693.0,155284,,,,,22429,563950,15693,155284,38122,719144
53,2021-02-05,20496,584446,17373.0,172657,,,,,20496,584446,17373,172657,37869,757013
54,2021-02-06,12098,596544,14383.0,187040,,,,,12098,596544,14383,187040,26481,783494
55,2021-02-07,5950,602494,1756.0,188796,,,,,5950,602494,1756,188796,7706,791200
56,2021-02-08,13261,615755,13071.0,201867,,,,,13261,615755,13071,201867,26332,817532
57,2021-02-09,16670,632425,13982.0,215849,,,,,16670,632425,13982,215849,30652,848184
58,2021-02-10,19254,651679,21360.0,237209,,,,,19254,651679,21360,237209,40614,888798
59,2021-02-11,22844,674523,17477.0,254686,,,,,22844,674523,17477,254686,40321,929119
60,2021-02-12,20369,694892,19821.0,274507,,,,,20369,694892,19821,274507,40190,969309
61,2021-02-13,11356,706248,6327.0,280834,,,,,11356,706248,6327,280834,17683,986992
62,2021-02-14,7073,713321,2061.0,282895,,,,,7073,713321,2061,282895,9134,996126
63,2021-02-15,11695,725016,13186.0,296081,,,,,11695,725016,13186,296081,24881,1021007
64,2021-02-16,16552,741568,21643.0,317724,,,,,16552,741568,21643,317724,38195,1059202
65,2021-02-17,20602,762170,27102.0,344826,,,,,20602,762170,27102,344826,47704,1106906
66,2021-02-18,3152,765322,4713.0,349539,,,,,3152,765322,4713,349539,7865,1114771
67,2021-02-19,10241,775563,20385.0,369924,,,,,10241,775563,20385,369924,30626,1145397
68,2021-02-20,10289,785852,20849.0,390773,,,,,10289,785852,20849,390773,31138,1176535
69,2021-02-21,6143,791995,7917.0,398690,,,,,6143,791995,7917,398690,14060,1190595
70,2021-02-22,8073,800068,15864.0,414554,,,,,8073,800068,15864,414554,23937,1214532
71,2021-02-23,15575,815643,16447.0,431001,,,,,15575,815643,16447,431001,32022,1246554
72,2021-02-24,17950,833593,25127.0,456128,,,,,17950,833593,25127,456128,43077,1289631
73,2021-02-25,20397,853990,26859.0,482987,,,,,20397,853990,26859,482987,47256,1336887
74,2021-02-26,26801,880791,26417.0,509404,,,,,26801,880791,26417,509404,53218,1390105
75,2021-02-27,16084,896875,11670.0,521074,,,,,16084,896875,11670,521074,27754,1417859
76,2021-02-28,15484,912359,4795.0,525869,,,,,15484,912359,4795,525869,20279,1438138
77,2021-03-01,25849,938208,12490.0,538359,,,,,25849,938208,12490,538359,38339,1476477
78,2021-03-02,23964,962172,13287.0,551646,,,29.0,29.0,23993,962201,13316,551675,37280,1513757
79,2021-03-03,30185,992357,18338.0,569984,,,171.0,200.0,30356,992557,18509,570184,48694,1562451
80,2021-03-04,31052,1023409,18094.0,588078,,,4059.0,4259.0,35111,1027668,22153,592337,53205,1615656
81,2021-03-05,29540,1052949,19343.0,607421,,,4906.0,9165.0,34446,1062114,24249,616586,53789,1669445
82,2021-03-06,17747,1070696,8894.0,616315,,,5986.0,15151.0,23733,1085847,14880,631466,32627,1702072
83,2021-03-07,12058,1082754,4785.0,621100,,,6610.0,21761.0,18668,1104515,11395,642861,23453,1725525
84,2021-03-08,26156,1108910,8724.0,629824,,,8284.0,30045.0,34440,1138955,17008,659869,43164,1768689
85,2021-03-09,26364,1135274,15350.0,645174,,,8343.0,38388.0,34707,1173662,23693,683562,50057,1818746
86,2021-03-10,30108,1165382,15871.0,661045,,,7939.0,46327.0,38047,1211709,23810,707372,53918,1872664
87,2021-03-11,36171,1201553,16363.0,677408,,,4035.0,50362.0,40206,1251915,20398,727770,56569,1929233
88,2021-03-12,37162,1238715,17977.0,695385,,,2916.0,53278.0,40078,1291993,20893,748663,58055,1987288
89,2021-03-13,22588,1261303,10188.0,705573,,,1600.0,54878.0,24188,1316181,11788,760451,34376,2021664
90,2021-03-14,17836,1279139,6647.0,712220,,,993.0,55871.0,18829,1335010,7640,768091,25476,2047140
91,2021-03-15,29969,1309108,11291.0,723511,,,595.0,56466.0,30564,1365574,11886,779977,41855,2088995
92,2021-03-16,33606,1342714,13513.0,737024,,,764.0,57230.0,34370,1399944,14277,794254,47883,2136878
