,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,AdditionalDailyDose,AdditionalDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccinations,FirstSecondSingleVaccinationsCumulative
0,2020-12-14 15:00:00,21,1641,,559,,2,,,21,1641,0,559,21,2138
1,2020-12-15 15:00:00,69,1710,3.0,562,,2,,,69,1710,3,562,72,2210
2,2020-12-16 15:00:00,695,2405,6.0,568,,2,,,695,2405,6,568,701,2911
3,2020-12-17 15:00:00,1284,3689,11.0,579,,2,,,1284,3689,11,579,1295,4206
4,2020-12-18 15:00:00,3141,6830,13.0,592,,2,,,3141,6830,13,592,3154,7360
5,2020-12-19 15:00:00,1004,7834,9.0,601,,2,,,1004,7834,9,601,1013,8373
6,2020-12-20 15:00:00,397,8231,6.0,607,,2,,,397,8231,6,607,403,8776
7,2020-12-21 15:00:00,3961,12192,28.0,635,,2,,,3961,12192,28,635,3989,12765
8,2020-12-22 15:00:00,6381,18573,32.0,667,,2,,,6381,18573,32,667,6413,19178
9,2020-12-23 15:00:00,5848,24421,44.0,711,,2,,,5848,24421,44,711,5892,25070
10,2020-12-24 15:00:00,2776,27197,17.0,728,,2,,,2776,27197,17,728,2793,27863
11,2020-12-25 15:00:00,1036,28233,4.0,732,,2,,,1036,28233,4,732,1040,28903
12,2020-12-26 15:00:00,1917,30150,10.0,742,,2,,,1917,30150,10,742,1927,30830
13,2020-12-27 15:00:00,1827,31977,13.0,755,,2,,,1827,31977,13,755,1840,32670
14,2020-12-28 15:00:00,9207,41184,61.0,816,,2,,,9207,41184,61,816,9268,41938
15,2020-12-29 15:00:00,11234,52418,59.0,875,,2,,,11234,52418,59,875,11293,53231
16,2020-12-30 15:00:00,12772,65190,104.0,979,1.0,3,,,12772,65190,104,979,12877,66108
17,2020-12-31 15:00:00,7682,72872,56.0,1035,,3,,,7682,72872,56,1035,7738,73846
18,2021-01-01 15:00:00,3669,76541,163.0,1198,8.0,11,,,3669,76541,163,1198,3840,77686
