,VACCINATION_DATE,5-11 percent,12-17 percent,18-49 percent,50-64 percent,65 and Older percent,5-11 total,12-17 total,18-49 total,50-64 total,65 and Older total
0,2020-12-14 15:00:00,,,0.001,0.0,0.0,,,14,5,2
1,2020-12-15 15:00:00,,,0.002,0.003,0.001,,,50,35,6
2,2020-12-16 15:00:00,,,0.022,0.016,0.004,,,563,191,38
3,2020-12-17 15:00:00,,,0.057,0.044,0.011,,,1427,541,110
4,2020-12-18 15:00:00,,,0.135,0.123,0.032,,,3400,1516,310
5,2020-12-19 15:00:00,,,0.159,0.149,0.04,,,4020,1832,380
6,2020-12-20 15:00:00,,,0.17,0.158,0.043,,,4283,1938,409
7,2020-12-21 15:00:00,,,0.273,0.25,0.067,,,6885,3069,641
8,2020-12-22 15:00:00,,0.002,0.401,0.399,0.203,,8.0,10120,4904,1945
9,2020-12-23 15:00:00,,0.002,0.532,0.549,0.277,,9.0,13418,6745,2657
10,2020-12-24 15:00:00,,,0.596,0.623,0.302,,,15048,7654,2900
11,2020-12-25 15:00:00,,0.004,0.608,0.651,0.343,,18.0,15344,7992,3293
12,2020-12-26 15:00:00,,,0.638,0.702,0.398,,,16097,8628,3823
13,2020-12-27 15:00:00,,0.004,0.669,0.746,0.452,,20.0,16877,9164,4332
14,2020-12-28 15:00:00,,0.005,0.873,0.978,0.577,,24.0,22035,12010,5540
15,2020-12-29 15:00:00,,0.006,1.106,1.273,0.759,,25.0,27907,15638,7278
16,2020-12-30 15:00:00,,0.006,1.397,1.605,0.901,,27.0,35241,19710,8647
17,2020-12-31 15:00:00,,0.006,1.572,1.799,0.993,,29.0,39662,22094,9524
18,2021-01-01 15:00:00,,0.009,1.631,1.876,1.123,,41.0,41168,23041,10773
19,2021-01-02 15:00:00,,0.01,1.696,1.944,1.212,,45.0,42795,23882,11630
20,2021-01-03 15:00:00,,0.01,1.761,2.028,1.296,,46.0,44431,24907,12432
21,2021-01-04 15:00:00,,0.012,2.033,2.373,1.545,,53.0,51288,29150,14823
22,2021-01-05 15:00:00,,0.015,2.282,2.692,1.799,,66.0,57575,33059,17260
23,2021-01-06 15:00:00,,0.018,2.587,3.095,2.088,,83.0,65271,38011,20030
24,2021-01-07 15:00:00,,0.021,2.909,3.484,2.329,,97.0,73413,42795,22341
25,2021-01-08 15:00:00,,0.029,3.244,3.889,2.617,,131.0,81855,47770,25105
26,2021-01-09 15:00:00,,0.03,3.349,4.015,2.744,,137.0,84516,49318,26329
27,2021-01-10 15:00:00,,0.031,3.404,4.088,2.827,,142.0,85884,50209,27126
28,2021-01-11 15:00:00,,0.035,3.666,4.423,3.153,,159.0,92517,54323,30245
29,2021-01-12 15:00:00,,0.041,3.995,4.826,3.609,,185.0,100813,59277,34622
30,2021-01-13 15:00:00,,0.045,4.375,5.287,3.986,,202.0,110397,64931,38241
31,2021-01-14 15:00:00,,0.047,4.73,5.725,4.387,,214.0,119368,70309,42090
32,2021-01-15 15:00:00,,0.051,5.113,6.169,4.88,,231.0,129011,75766,46818
33,2021-01-16 15:00:00,,0.052,5.219,6.273,5.106,,233.0,131691,77044,48982
34,2021-01-17 15:00:00,,0.052,5.254,6.319,5.18,,237.0,132586,77614,49698
35,2021-01-18 15:00:00,,0.054,5.342,6.435,5.557,,243.0,134802,79037,53313
36,2021-01-19 15:00:00,,0.056,5.539,6.672,6.53,,253.0,139758,81950,62649
37,2021-01-20 15:00:00,,0.058,5.766,6.959,7.772,,263.0,145506,85468,74563
38,2021-01-21 15:00:00,,0.062,6.06,7.314,9.062,,279.0,152910,89830,86937
39,2021-01-22 15:00:00,,0.065,6.44,7.795,10.453,,295.0,162515,95733,100284
40,2021-01-23 15:00:00,,0.068,6.571,7.943,10.993,,307.0,165801,97553,105466
41,2021-01-24 15:00:00,,0.071,6.602,7.991,11.205,,321.0,166592,98143,107499
42,2021-01-25 15:00:00,,0.073,6.774,8.201,12.199,,331.0,170946,100729,117032
43,2021-01-26 15:00:00,,0.076,6.97,8.429,13.243,,344.0,175873,103529,127054
44,2021-01-27 15:00:00,,0.081,7.209,8.724,14.8,,365.0,181920,107155,141991
45,2021-01-28 15:00:00,,0.084,7.445,9.027,16.186,,381.0,187873,110869,155291
46,2021-01-29 15:00:00,,0.097,7.689,9.354,17.739,,439.0,194018,114891,170185
