,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,AdditionalDailyDose,AdditionalDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccinations,FirstSecondSingleVaccinationsCumulative
0,2020-12-14 15:00:00,21,1659,,563,,2,,,21,1659,0,563,21,2157
1,2020-12-15 15:00:00,70,1729,3.0,566,,2,,,70,1729,3,566,73,2230
2,2020-12-16 15:00:00,701,2430,7.0,573,,2,,,701,2430,7,573,708,2938
3,2020-12-17 15:00:00,1286,3716,11.0,584,,2,,,1286,3716,11,584,1297,4235
4,2020-12-18 15:00:00,3148,6864,13.0,597,,2,,,3148,6864,13,597,3161,7396
5,2020-12-19 15:00:00,1006,7870,9.0,606,,2,,,1006,7870,9,606,1015,8411
6,2020-12-20 15:00:00,398,8268,6.0,612,,2,,,398,8268,6,612,404,8815
7,2020-12-21 15:00:00,3965,12233,27.0,639,,2,,,3965,12233,27,639,3992,12807
8,2020-12-22 15:00:00,6382,18615,33.0,672,,2,,,6382,18615,33,672,6415,19222
9,2020-12-23 15:00:00,5852,24467,45.0,717,,2,,,5852,24467,45,717,5897,25119
10,2020-12-24 15:00:00,2782,27249,17.0,734,,2,,,2782,27249,17,734,2799,27918
11,2020-12-25 15:00:00,1036,28285,4.0,738,,2,,,1036,28285,4,738,1040,28958
12,2020-12-26 15:00:00,1919,30204,10.0,748,,2,,,1919,30204,10,748,1929,30887
13,2020-12-27 15:00:00,1827,32031,13.0,761,,2,,,1827,32031,13,761,1840,32727
14,2020-12-28 15:00:00,9216,41247,62.0,823,,2,,,9216,41247,62,823,9278,42005
15,2020-12-29 15:00:00,11239,52486,60.0,883,,2,,,11239,52486,60,883,11299,53304
16,2020-12-30 15:00:00,12777,65263,105.0,988,1.0,3,,,12777,65263,105,988,12883,66187
17,2020-12-31 15:00:00,7684,72947,55.0,1043,,3,,,7684,72947,55,1043,7739,73926
18,2021-01-01 15:00:00,3714,76661,164.0,1207,8.0,11,,,3714,76661,164,1207,3886,77812
19,2021-01-02 15:00:00,3329,79990,38.0,1245,,11,,,3329,79990,38,1245,3367,81179
20,2021-01-03 15:00:00,3464,83454,86.0,1331,,11,,,3464,83454,86,1331,3550,84729
21,2021-01-04 15:00:00,13498,96952,370.0,1701,2.0,13,,,13498,96952,370,1701,13870,98599
22,2021-01-05 15:00:00,12646,109598,597.0,2298,1.0,14,,,12646,109598,597,2298,13244,111843
23,2021-01-06 15:00:00,15435,125033,980.0,3278,1.0,15,,,15435,125033,980,3278,16416,128259
24,2021-01-07 15:00:00,15249,140282,1905.0,5183,,15,,,15249,140282,1905,5183,17154,145413
25,2021-01-08 15:00:00,24215,164497,2940.0,8123,,15,,,24215,164497,2940,8123,27155,172568
26,2021-01-09 15:00:00,5439,169936,1036.0,9159,1.0,16,,,5439,169936,1036,9159,6476,179044
27,2021-01-10 15:00:00,3061,172997,403.0,9562,,16,,,3061,172997,403,9562,3464,182508
28,2021-01-11 15:00:00,13883,186880,3531.0,13093,2.0,18,,,13883,186880,3531,13093,17416,199924
29,2021-01-12 15:00:00,17653,204533,5650.0,18743,,18,,,17653,204533,5650,18743,23303,223227
30,2021-01-13 15:00:00,18874,223407,3993.0,22736,,18,,,18874,223407,3993,22736,22867,246094
31,2021-01-14 15:00:00,18210,241617,2014.0,24750,1.0,19,,,18210,241617,2014,24750,20225,266319
32,2021-01-15 15:00:00,19845,261462,2088.0,26838,3.0,22,,,19845,261462,2088,26838,21936,288255
33,2021-01-16 15:00:00,6124,267586,1661.0,28499,,22,,,6124,267586,1661,28499,7785,296040
34,2021-01-17 15:00:00,2185,269771,1491.0,29990,1.0,23,,,2185,269771,1491,29990,3677,299717
35,2021-01-18 15:00:00,7260,277031,3333.0,33323,3.0,26,,,7260,277031,3333,33323,10596,310313
36,2021-01-19 15:00:00,17215,294246,5512.0,38835,1.0,27,,,17215,294246,5512,38835,22728,333041
37,2021-01-20 15:00:00,21190,315436,5415.0,44250,2.0,29,,,21190,315436,5415,44250,26607,359648
38,2021-01-21 15:00:00,24154,339590,3941.0,48191,2.0,31,,,24154,339590,3941,48191,28097,387745
39,2021-01-22 15:00:00,28871,368461,3837.0,52028,,31,,,28871,368461,3837,52028,32708,420453
40,2021-01-23 15:00:00,10300,378761,2021.0,54049,1.0,32,,,10300,378761,2021,54049,12322,432775
41,2021-01-24 15:00:00,3428,382189,1764.0,55813,2.0,34,,,3428,382189,1764,55813,5194,437969
42,2021-01-25 15:00:00,16483,398672,8819.0,64632,2.0,36,,,16483,398672,8819,64632,25304,463273
43,2021-01-26 15:00:00,17760,416432,9177.0,73809,2.0,38,,,17760,416432,9177,73809,26939,490212
44,2021-01-27 15:00:00,24631,441063,12823.0,86632,2.0,40,,,24631,441063,12823,86632,37456,527668
45,2021-01-28 15:00:00,22983,464046,9487.0,96119,3.0,43,,,22983,464046,9487,96119,32473,560141
46,2021-01-29 15:00:00,25117,489163,8154.0,104273,9.0,52,,,25117,489163,8154,104273,33280,593421
47,2021-01-30 15:00:00,17996,507159,2759.0,107032,5.0,57,,,17996,507159,2759,107032,20760,614181
48,2021-01-31 15:00:00,3817,510976,1476.0,108508,5.0,62,,,3817,510976,1476,108508,5298,619479
49,2021-02-01 15:00:00,8410,519386,5629.0,114137,59.0,121,,,8410,519386,5629,114137,14098,633577
50,2021-02-02 15:00:00,12689,532075,14041.0,128178,6.0,127,,,12689,532075,14041,128178,26736,660313
51,2021-02-03 15:00:00,18478,550553,18367.0,146545,2.0,129,,,18478,550553,18367,146545,36847,697160
52,2021-02-04 15:00:00,22411,572964,16101.0,162646,3.0,132,,,22411,572964,16101,162646,38515,735675
53,2021-02-05 15:00:00,20648,593612,17793.0,180439,6.0,138,,,20648,593612,17793,180439,38447,774122
54,2021-02-06 15:00:00,11634,605246,14835.0,195274,7.0,145,,,11634,605246,14835,195274,26476,800598
55,2021-02-07 15:00:00,6047,611293,2010.0,197284,2.0,147,,,6047,611293,2010,197284,8059,808657
56,2021-02-08 15:00:00,13162,624455,13131.0,210415,12.0,159,,,13162,624455,13131,210415,26305,834962
57,2021-02-09 15:00:00,16953,641408,14120.0,224535,,159,,,16953,641408,14120,224535,31073,866035
58,2021-02-10 15:00:00,19540,660948,21589.0,246124,5.0,164,,,19540,660948,21589,246124,41134,907169
59,2021-02-11 15:00:00,23083,684031,17696.0,263820,8.0,172,,,23083,684031,17696,263820,40787,947956
60,2021-02-12 15:00:00,20654,704685,19950.0,283770,10.0,182,,,20654,704685,19950,283770,40614,988570
61,2021-02-13 15:00:00,11592,716277,6519.0,290289,1.0,183,,,11592,716277,6519,290289,18112,1006682
62,2021-02-14 15:00:00,7220,723497,2214.0,292503,3.0,186,,,7220,723497,2214,292503,9437,1016119
63,2021-02-15 15:00:00,11947,735444,13491.0,305994,16.0,202,,,11947,735444,13491,305994,25454,1041573
